slip_id,date,store_code,store_name,machine_name,machine_code,meter_in,meter_out,pay_amt,staff,note,source_image
CS001,2026-02-17,SIM01,下通,27円ガチャ,,22060,22798,288000,本田,,IMG_1949.JPG
CS002,2026-02-17,KOS01,合志,27円ガチャ,,6613,6942,129000,本田,,IMG_1956.JPG
CS003,2026-02-17,KOS01,合志,R2014 Buzz9L,,,,166600,本田,4ブース機,IMG_1956.JPG
CS004,2026-02-17,KOS01,合志,500GATCHA,R1005,7812,9172,185500,本田,3700,IMG_1956.JPG
CS005,2026-02-17,KOS01,合志,セサミW1,,36225,36826,91700,本田,,IMG_1956.JPG
CS006,2026-02-17,KOS01,合志,R1006 セサミW2,,55129,55298,30800,本田,,IMG_1956.JPG
CS007,2026-02-17,KOS01,合志,R1050 セサミW3,,48182,48311,35600,本田,,IMG_1956.JPG
CS008,2026-02-17,KOS01,合志,R1053 セサミW4,,46509,46758,47500,本田,,IMG_1956.JPG
CS009,2026-02-17,KOS01,合志,R2054 Buzz2L,,,,131700,本田,4ブース機,IMG_1956.JPG
CS010,2026-02-17,KOS01,合志,アンパンマンアイライド,,85168,86135,22100,本田,,IMG_1956.JPG
CS011,2026-02-17,KOS01,合志,R2055 Buzz2Lミコ,,12405,14278,187300,本田,,IMG_1956.JPG
CS012,2026-02-14,STK01,薩摩川内,ポケクレマルチ,,17207,17419,36100,本田 高野,,IMG_1916.JPG
CS013,2026-02-14,STK01,薩摩川内,ポケクレマルチ(2),,17654,17735,30000,本田 高野,,IMG_1916.JPG
CS014,2026-02-14,STK01,薩摩川内,仲原ガチャ200,8P0183,1972,2046,14900,本田 高野,,IMG_1916.JPG
CS015,2026-02-14,STK01,薩摩川内,ガチャ100,G?0221,1376,1597,27700,本田 高野,,IMG_1916.JPG
CS016,2026-02-13,STK01,薩摩川内,ポケクレマルチ,,16670,16790,21700,村松,,IMG_1912.JPG
CS017,2026-02-13,STK01,薩摩川内,ポケクレマルチ(2),,,,38300,村松,,IMG_1912.JPG
CS018,2026-02-13,STK01,薩摩川内,R370レクレーン1,,19983,20117,26900,村松,,IMG_1912.JPG
CS019,2026-02-13,STK01,薩摩川内,R1201012,,15892,15865,17300,村松,,IMG_1912.JPG
CS020,2026-02-13,STK01,薩摩川内,コバレクレ716 02154,,,,71500,村松,複数ブース,IMG_1912.JPG
CS021,2026-02-13,STK01,薩摩川内,仲原ガチャ200,,,,64200,村松,,IMG_1912.JPG
CS022,2026-02-13,STK01,薩摩川内,BP 0318,,1255,1368,22700,村松,,IMG_1912.JPG
CS023,2026-02-13,STK01,薩摩川内,BP 0738,,2386,2423,7900,村松,,IMG_1912.JPG
CS024,2026-02-13,STK01,薩摩川内,サイガチャ100,,,,0,村松,売上なし,IMG_1912.JPG
CS025,2026-02-13,STK01,薩摩川内,GB 0303,,4932,3459,60600,村松,,IMG_1912.JPG
CS026,2026-02-13,STK01,薩摩川内,GB 0555,,3785,3799,39900,村松,,IMG_1912.JPG
