patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026-03-24,1,BUZZクレ⑥,,1,0.0,0.0,,25,サンリオ型押し,,22.7.11.22,,151,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-13,1,BUZZクレ⑥,,1,16006.0,1461.0,5,7,モンチッチがま口,,エリップスヘアーオイル24.10.11,,109,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-13,2,BUZZクレ⑥,,1,15046.0,509.0,11,0,おさるのジョージぷくぷくシール,,,,110,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-13,3,BUZZクレ⑥,,1,15698.0,987.0,11,0,サミュエルステッカー,,,,111,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-13,4,BUZZクレ⑥,,1,13451.0,1097.0,12,186,サンリオウインドウポーチ,,ブレスレット17.6.7,,112,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-15,1,BUZZクレ⑥,,1,16028.0,1464.0,9,0,エリップスヘアーオイル,,23.9.0,,113,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-15,2,BUZZクレ⑥,,1,15047.0,509.0,11,4,おさるのジョージぷくぷくシール,,ディズニー・サミュエルぷくぷくシール16.6.6,,114,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-15,3,BUZZクレ⑥,,1,15698.0,987.0,11,3,サミュエルステッカー,,半熟卵スクイーズ23.7.8,,115,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-15,4,BUZZクレ⑥,,1,13547.0,1097.0,198,0,ブレスレット,,,,116,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-17,1,BUZZクレ⑥,,1,16045.0,1465.0,6,0,エリップスヘアーオイル,,22.7.11シールド少し下げたスピード上げた,,3,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-17,2,BUZZクレ⑥,,1,15057.0,510.0,14,0,ディズニー・サミュエルぷくぷくシール,,,,4,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-17,3,BUZZクレ⑥,,1,15702.0,987.0,13,0,半熟たまごスクイーズ,,24.8.10シールド下げたスピード上げた,,5,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-17,4,BUZZクレ⑥,,1,13569.0,1097.0,196,0,ブレスレット,,,,6,佐賀,False,,★佐賀　クレーン売上表2026.xlsx
2026-05-17,5,BUZZクレ⑥,,1,16055.0,1466.0,5,0,エリップスヘアーオイル,,,,7,佐賀,True,"booth>4 (machine=BUZZクレ⑥, area=None)",★佐賀　クレーン売上表2026.xlsx
2026-05-17,6,BUZZクレ⑥,,1,15066.0,510.0,14,0,ディズニー・サミュエルぷくぷくシール,,,,8,佐賀,True,"booth>4 (machine=BUZZクレ⑥, area=None)",★佐賀　クレーン売上表2026.xlsx
2026-05-17,7,BUZZクレ⑥,,1,15703.0,987.0,13,7,半熟たまごスクイーズ,,アンパンマンもちふわマスコット14.7.7,,9,佐賀,True,"booth>4 (machine=BUZZクレ⑥, area=None)",★佐賀　クレーン売上表2026.xlsx
