patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2025-04-21,1,福重BUZZ⑥,2F,1,4064.0,236.0,9,2,お菓子ウォレット,800.0,,,False,,,951,福重,★福重　クレーン売上表.xlsx
2025-04-21,2,福重BUZZ⑥,2F,1,2206.0,66.0,20,0,ゴールドイヤホン,770.0,,,False,,,952,福重,★福重　クレーン売上表.xlsx
2025-04-21,3,福重BUZZ⑥,2F,1,1899.0,66.0,24,-2,アンパンマンもちふわ,673.0,12.5.7スピード上げた,,False,,,953,福重,★福重　クレーン売上表.xlsx
2025-04-21,4,福重BUZZ⑥,2F,1,1745.0,65.0,4,52,アンパンマンポシェット,800.0,24.6.12.24sp2,,False,,,954,福重,★福重　クレーン売上表.xlsx
2025-04-25,1,福重BUZZ⑥,2F,1,4077.0,236.0,12,0,お菓子ウォレット,800.0,,,False,,,955,福重,★福重　クレーン売上表.xlsx
2025-04-25,2,福重BUZZ⑥,2F,1,2225.0,66.0,20,0,ゴールドイヤホン,770.0,,,False,,,956,福重,★福重　クレーン売上表.xlsx
2025-04-25,3,福重BUZZ⑥,2F,1,1953.0,66.0,22,0,アンパンマンもちふわ,673.0,,,False,,,957,福重,★福重　クレーン売上表.xlsx
2025-04-25,4,福重BUZZ⑥,2F,1,1757.0,65.0,52,0,スプランキーラバー,800.0,,,False,,,958,福重,★福重　クレーン売上表.xlsx
2025-04-28,1,福重BUZZ⑥,2F,1,4177.0,239.0,9,0,お菓子ウォレット,800.0,,,False,,,959,福重,★福重　クレーン売上表.xlsx
2025-04-28,2,福重BUZZ⑥,2F,1,2259.0,66.0,19,0,ゴールドイヤホン,770.0,,,False,,,960,福重,★福重　クレーン売上表.xlsx
2025-04-28,3,福重BUZZ⑥,2F,1,1967.0,66.0,22,0,アンパンマンもちふわ,673.0,,,False,,,961,福重,★福重　クレーン売上表.xlsx
2025-04-28,4,福重BUZZ⑥,2F,1,1790.0,68.0,50,0,スプランキーラバー,800.0,,,False,,,962,福重,★福重　クレーン売上表.xlsx
2025-05-02,1,福重BUZZ⑥,2F,1,4191.0,239.0,9,1,お菓子ウォレット,800.0,,,False,,,963,福重,★福重　クレーン売上表.xlsx
2025-05-02,2,福重BUZZ⑥,2F,1,2285.0,67.0,18,6,ゴールドイヤホン,770.0,新色足した,,False,,,964,福重,★福重　クレーン売上表.xlsx
2025-05-02,3,福重BUZZ⑥,2F,1,1981.0,67.0,21,3,アンパンマンもちふわ,673.0,,,False,,,965,福重,★福重　クレーン売上表.xlsx
2025-05-02,4,福重BUZZ⑥,2F,1,1855.0,69.0,48,80,スプランキーラバー,800.0,,,False,,,966,福重,★福重　クレーン売上表.xlsx
2025-05-05,1,福重BUZZ⑥,2F,1,4246.0,241.0,8,2,お菓子ウォレット,800.0,,,False,,,967,福重,★福重　クレーン売上表.xlsx
2025-05-05,2,福重BUZZ⑥,2F,1,2327.0,67.0,24,0,ゴールドイヤホン,770.0,,,False,,,968,福重,★福重　クレーン売上表.xlsx
2025-05-05,3,福重BUZZ⑥,2F,1,2056.0,71.0,20,4,アンパンマンもちふわ,673.0,,,False,,,969,福重,★福重　クレーン売上表.xlsx
2025-05-05,4,福重BUZZ⑥,2F,1,2044.0,77.0,120,0,スプランキーラバー,800.0,,,False,,,970,福重,★福重　クレーン売上表.xlsx
