patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2023-12-19,1,BUZZ②,,1,35.0,30.0,,21,ブルガリ,318.0,22.8.10.24,,False,,,2195,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-19,2,BUZZ②,,1,40.0,27.0,,12,ポケカ,450.0,16.1.8.16,,False,,,2196,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-19,3,BUZZ②,,1,30.0,27.0,,40,スイカグミ,143.0,20.1.9.20緩和20,,False,,,2197,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-19,4,BUZZ②,,1,31.0,27.0,,20,ポケカ,450.0,16.1.8.16,,False,,,2198,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-26,1,BUZZ②,,1,63.0,31.0,20,0,ブルガリ,318.0,22.5.10,,False,,,2199,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-26,2,BUZZ②,,1,88.0,32.0,7,11,ポケカ,450.0,,,False,,,2200,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-26,3,BUZZ②,,1,164.0,33.0,34,30,スイカグミ,143.0,20.1.8,,False,,,2201,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-26,4,BUZZ②,,1,127.0,36.0,11,72,ポケカ,450.0,トイレ20.1.12,,False,,,2202,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-30,1,BUZZ②,,1,89.0,33.0,18,5,ブルガリミスト,318.0,24.3.12緩和10,,False,,,2203,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-30,2,BUZZ②,,1,149.0,35.0,9,20,ポケカ,1100.0,,,False,,,2204,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-30,3,BUZZ②,,1,256.0,36.0,60,0,スイカグミ,143.0,,,False,,,2205,Sheet1,★ダイキョー　クレーン売上.xlsx
2023-12-30,4,BUZZ②,,1,262.0,40.0,78,0,トイレットラバーKH,220.0,,,False,,,2206,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-03,1,BUZZ②,,1,148.0,34.0,22,-16,ピストル玩具,318.0,,,False,,,2100,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-03,2,BUZZ②,,1,212.0,40.0,22,4,ポケカ,900.0,緩和20,,False,,,2101,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-03,3,BUZZ②,,1,320.0,39.0,57,2,スイカグミ,143.0,,,False,,,2102,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-03,4,BUZZ②,,1,345.0,42.0,76,0,トイレットラバーKH,220.0,,,False,,,2103,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-06,1,BUZZ②,,1,194.0,36.0,5,0,ピストル玩具,318.0,,,False,,,2104,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-06,2,BUZZ②,,1,272.0,41.0,25,0,ポケカ,1100.0,,,False,,,2105,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-06,3,BUZZ②,,1,365.0,42.0,56,0,スイカグミ,143.0,緩和20上昇6→2,,False,,,2106,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-06,4,BUZZ②,,1,386.0,44.0,74,0,トイレットラバーKH,220.0,,,False,,,2107,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-09,1,BUZZ②,,1,256.0,38.0,3,0,ピストル玩具,318.0,,,False,,,2108,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-09,2,BUZZ②,,1,368.0,44.0,22,0,ポケカ,900.0,,,False,,,2109,Sheet1,★ダイキョー　クレーン売上.xlsx
2024-01-09,3,BUZZ②,,1,452.0,48.0,50,0,スイカグミ,143.0,,,False,,,2110,Sheet1,★ダイキョー　クレーン売上.xlsx
