patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2025-06-26,1,BUZZ①,,1,9999991.0,9999990.0,,16,ズーシーアニマル,1020.0,22.11.13.22,,False,,,605,西新,★西新　クレーン売上表2026.xlsx
2025-06-26,2,BUZZ①,,1,9999994.0,9999992.0,,35,電ブルキュート,275.0,22.10.12.221,,False,,,606,西新,★西新　クレーン売上表2026.xlsx
2025-06-26,3,BUZZ①,,1,9999993.0,9999991.0,,26,SPGラバー,187.0,24.6.8.24,,False,,,607,西新,★西新　クレーン売上表2026.xlsx
2025-06-26,4,BUZZ①,,1,9999995.0,9999991.0,,45,NICI,682.0,14.6.8.15,,False,,,608,西新,★西新　クレーン売上表2026.xlsx
2025-06-27,1,BUZZ①,,1,8.0,9999991.0,15,0,ズーシーアニマル,1020.0,,,False,,,609,西新,★西新　クレーン売上表2026.xlsx
2025-06-27,2,BUZZ①,,1,31.0,9999996.0,31,0,電ブルキュート,275.0,,,False,,,610,西新,★西新　クレーン売上表2026.xlsx
2025-06-27,3,BUZZ①,,1,9999994.0,9999991.0,26,53,SPGラバー,187.0,,,False,,,611,西新,★西新　クレーン売上表2026.xlsx
2025-06-27,4,BUZZ①,,1,13.0,9999993.0,43,0,NICI,682.0,,,False,,,612,西新,★西新　クレーン売上表2026.xlsx
2025-06-28,1,BUZZ①,,1,8.0,9999991.0,15,0,ズーシーアニマル,1020.0,,,False,,,613,西新,★西新　クレーン売上表2026.xlsx
2025-06-28,2,BUZZ①,,1,33.0,9999996.0,31,0,電ブルキュート,275.0,,,False,,,614,西新,★西新　クレーン売上表2026.xlsx
2025-06-28,3,BUZZ①,,1,9999994.0,9999991.0,79,0,SPGラバー,187.0,,,False,,,615,西新,★西新　クレーン売上表2026.xlsx
2025-06-28,4,BUZZ①,,1,56.0,9999995.0,41,0,NICI,682.0,14.5.9.14,,False,,,616,西新,★西新　クレーン売上表2026.xlsx
2025-06-29,1,BUZZ①,,1,19.0,9999991.0,15,0,ズーシーアニマル,1020.0,,,False,,,617,西新,★西新　クレーン売上表2026.xlsx
2025-06-29,2,BUZZ①,,1,86.0,0.0,27,0,電ブルキュート,275.0,,,False,,,618,西新,★西新　クレーン売上表2026.xlsx
2025-06-29,3,BUZZ①,,1,4.0,9999994.0,77,0,SPGラバー,187.0,,,False,,,619,西新,★西新　クレーン売上表2026.xlsx
2025-06-29,4,BUZZ①,,1,86.0,9999996.0,40,0,NICI,682.0,,,False,,,620,西新,★西新　クレーン売上表2026.xlsx
2025-06-30,1,BUZZ①,,1,19.0,9999991.0,15,-4,ズーシーアニマル,1020.0,ジャグラーサウンド 20.7.8.20,,False,,,621,西新,★西新　クレーン売上表2026.xlsx
2025-06-30,2,BUZZ①,,1,87.0,0.0,27,0,電ブルキュート,275.0,,,False,,,622,西新,★西新　クレーン売上表2026.xlsx
2025-06-30,3,BUZZ①,,1,4.0,9999994.0,77,-73,SPGラバー,187.0,サンリオフェイスポーチ20.7.8.20,,False,,,623,西新,★西新　クレーン売上表2026.xlsx
2025-06-30,4,BUZZ①,,1,94.0,9999996.0,40,0,NICI,682.0,,,False,,,624,西新,★西新　クレーン売上表2026.xlsx
2025-07-01,1,BUZZ①,,1,56.0,9999992.0,10,0,ジャグラーサウンド,748.0,,,False,,,625,西新,★西新　クレーン売上表2026.xlsx
2025-07-01,2,BUZZ①,,1,108.0,1.0,26,0,電ブルキュート,275.0,,,False,,,626,西新,★西新　クレーン売上表2026.xlsx
2025-07-01,3,BUZZ①,,1,7.0,9999994.0,4,0,サンリオフェイスポーチ,957.0,,,False,,,627,西新,★西新　クレーン売上表2026.xlsx
2025-07-01,4,BUZZ①,,1,104.0,9999996.0,40,0,NICI,682.0,,,False,,,628,西新,★西新　クレーン売上表2026.xlsx
2025-07-03,1,BUZZ①,,1,79.0,9999993.0,9,0,ジャグラーサウンド,748.0,,,False,,,629,西新,★西新　クレーン売上表2026.xlsx
