patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2025-04-21,1,BUZZ②→クレナ②,1F,1,15341.0,894.0,22,-7,アクリルスライム,400.0,20.4.10じゃがりこイヤホン,,False,,,951,福重,★福重　クレーン売上表.xlsx
2025-04-21,2,BUZZ②→クレナ②,1F,1,17532.0,998.0,14,0,デジタルミニカメラ,800.0,,,False,,,952,福重,★福重　クレーン売上表.xlsx
2025-04-21,3,BUZZ②→クレナ②,1F,1,14516.0,1735.0,19,0,スプランキーマスコット,165.0,17.1.8.17sp10,,False,,,953,福重,★福重　クレーン売上表.xlsx
2025-04-21,4,BUZZ②→クレナ②,1F,1,14899.0,1838.0,61,22,スプランキーラバー,187.0,,,False,,,954,福重,★福重　クレーン売上表.xlsx
2025-04-25,1,BUZZ②→クレナ②,1F,1,15379.0,896.0,13,0,じゃがりこイヤホン,1100.0,,,False,,,955,福重,★福重　クレーン売上表.xlsx
2025-04-25,2,BUZZ②→クレナ②,1F,1,17648.0,1000.0,11,2,デジタルミニカメラ,800.0,,,False,,,956,福重,★福重　クレーン売上表.xlsx
2025-04-25,3,BUZZ②→クレナ②,1F,1,14576.0,1739.0,15,0,スプランキーマスコット,165.0,,,False,,,957,福重,★福重　クレーン売上表.xlsx
2025-04-25,4,BUZZ②→クレナ②,1F,1,14983.0,1840.0,80,0,スプランキーラバー,187.0,,,False,,,958,福重,★福重　クレーン売上表.xlsx
2025-04-28,1,BUZZ②→クレナ②,1F,1,15404.0,897.0,12,0,じゃがりこイヤホン,1100.0,,,False,,,959,福重,★福重　クレーン売上表.xlsx
2025-04-28,2,BUZZ②→クレナ②,1F,1,17677.0,1001.0,12,0,デジタルミニカメラ,800.0,,,False,,,960,福重,★福重　クレーン売上表.xlsx
2025-04-28,3,BUZZ②→クレナ②,1F,1,14637.0,1742.0,12,10,スプランキーマスコット,165.0,,,False,,,961,福重,★福重　クレーン売上表.xlsx
2025-04-28,4,BUZZ②→クレナ②,1F,1,15082.0,1845.0,75,0,スプランキーラバー,187.0,,,False,,,962,福重,★福重　クレーン売上表.xlsx
2025-05-02,1,BUZZ②→クレナ②,1F,1,15440.0,900.0,10,6,じゃがりこイヤホン,1100.0,22.10.14サンリオファン,,False,,,963,福重,★福重　クレーン売上表.xlsx
2025-05-02,2,BUZZ②→クレナ②,1F,1,17737.0,1001.0,12,0,デジタルミニカメラ,800.0,,,False,,,964,福重,★福重　クレーン売上表.xlsx
2025-05-02,3,BUZZ②→クレナ②,1F,1,14672.0,1746.0,17,30,スプランキーマスコット,165.0,,,False,,,965,福重,★福重　クレーン売上表.xlsx
2025-05-02,4,BUZZ②→クレナ②,1F,1,15148.0,1849.0,70,70,スプランキーラバー,187.0,,,False,,,966,福重,★福重　クレーン売上表.xlsx
2025-05-05,1,BUZZ②→クレナ②,1F,1,15523.0,904.0,10,0,サンリオファン,1100.0,,,False,,,967,福重,★福重　クレーン売上表.xlsx
2025-05-05,2,BUZZ②→クレナ②,1F,1,17778.0,1003.0,12,0,デジタルミニカメラ,800.0,,,False,,,968,福重,★福重　クレーン売上表.xlsx
2025-05-05,3,BUZZ②→クレナ②,1F,1,14712.0,1746.0,46,0,スプランキーマスコット,165.0,,,False,,,969,福重,★福重　クレーン売上表.xlsx
2025-05-05,4,BUZZ②→クレナ②,1F,1,15216.0,1850.0,138,0,スプランキーラバー,187.0,,,False,,,970,福重,★福重　クレーン売上表.xlsx
2025-05-09,1,BUZZ②→クレナ②,1F,1,15636.0,906.0,9,0,ジャグラーサウンドフラッシュ,800.0,,,False,,,971,福重,★福重　クレーン売上表.xlsx
2025-05-09,2,BUZZ②→クレナ②,1F,1,17869.0,1005.0,9,0,デジタルミニカメラ,800.0,,,False,,,972,福重,★福重　クレーン売上表.xlsx
2025-05-09,3,BUZZ②→クレナ②,1F,1,14758.0,1753.0,40,0,スプランキーマスコット,165.0,,,False,,,973,福重,★福重　クレーン売上表.xlsx
2025-05-09,4,BUZZ②→クレナ②,1F,1,15287.0,1852.0,130,0,スプランキーラバー,187.0,,,False,,,974,福重,★福重　クレーン売上表.xlsx
2025-05-12,1,BUZZ②→クレナ②,1F,1,15756.0,910.0,7,0,ジャグラーサウンドフラッシュ,800.0,,,False,,,975,福重,★福重　クレーン売上表.xlsx
2025-05-12,2,BUZZ②→クレナ②,1F,1,17915.0,1007.0,6,1,デジタルミニカメラ,800.0,,,False,,,976,福重,★福重　クレーン売上表.xlsx
2025-05-12,3,BUZZ②→クレナ②,1F,1,14846.0,1760.0,30,10,スプランキーマスコット,165.0,,,False,,,977,福重,★福重　クレーン売上表.xlsx
2025-05-12,4,BUZZ②→クレナ②,1F,1,15359.0,1856.0,120,0,スプランキーラバー,187.0,,,False,,,978,福重,★福重　クレーン売上表.xlsx
2025-05-15,1,BUZZ②→クレナ②,1F,1,15785.0,910.0,7,3,ジャグラーサウンドフラッシュ,800.0,,,False,,,979,福重,★福重　クレーン売上表.xlsx
2025-05-15,2,BUZZ②→クレナ②,1F,1,17952.0,1009.0,5,0,デジタルミニカメラ,800.0,,,False,,,980,福重,★福重　クレーン売上表.xlsx
2025-05-15,3,BUZZ②→クレナ②,1F,1,14859.0,1764.0,36,0,スプランキーマスコット,165.0,,,False,,,981,福重,★福重　クレーン売上表.xlsx
2025-05-15,4,BUZZ②→クレナ②,1F,1,15399.0,1858.0,118,0,スプランキーラバー,187.0,,,False,,,982,福重,★福重　クレーン売上表.xlsx
2025-05-19,1,BUZZ②→クレナ②,1F,1,15810.0,911.0,9,0,ジャグラーサウンドフラッシュ,800.0,,,False,,,877,福重,★福重　クレーン売上表.xlsx
2025-05-19,2,BUZZ②→クレナ②,1F,1,18014.0,1010.0,3,0,デジタルミニカメラ,800.0,,,False,,,878,福重,★福重　クレーン売上表.xlsx
2025-05-19,3,BUZZ②→クレナ②,1F,1,14897.0,1769.0,32,10,スプランキーマスコット,165.0,,,False,,,879,福重,★福重　クレーン売上表.xlsx
2025-05-19,4,BUZZ②→クレナ②,1F,1,15471.0,1859.0,110,0,スプランキーラバー,187.0,,,False,,,880,福重,★福重　クレーン売上表.xlsx
2025-05-24,1,BUZZ②→クレナ②,1F,1,15900.0,914.0,9,0,ジャグラーサウンドフラッシュ,800.0,,,False,,,881,福重,★福重　クレーン売上表.xlsx
2025-05-24,2,BUZZ②→クレナ②,1F,1,18052.0,1011.0,2,12,デジタルミニカメラ,800.0,22.1.10ジャグラーイヤホン,,False,,,882,福重,★福重　クレーン売上表.xlsx
2025-05-24,3,BUZZ②→クレナ②,1F,1,14931.0,1775.0,35,8,スプランキーマスコット,165.0,,,False,,,883,福重,★福重　クレーン売上表.xlsx
2025-05-24,4,BUZZ②→クレナ②,1F,1,15509.0,1861.0,105,45,スプランキーラバー,187.0,,,False,,,884,福重,★福重　クレーン売上表.xlsx
2025-05-26,1,BUZZ②→クレナ②,1F,1,15978.0,915.0,8,2,ジャグラーサウンドフラッシュ,800.0,,,False,,,885,福重,★福重　クレーン売上表.xlsx
2025-05-26,2,BUZZ②→クレナ②,1F,1,18075.0,1013.0,12,0,ジャグラーイヤホン,1100.0,,,False,,,886,福重,★福重　クレーン売上表.xlsx
2025-05-26,3,BUZZ②→クレナ②,1F,1,14987.0,1782.0,40,0,スプランキーマスコット,165.0,,,False,,,887,福重,★福重　クレーン売上表.xlsx
2025-05-26,4,BUZZ②→クレナ②,1F,1,15627.0,1865.0,140,0,スプランキーラバー,187.0,,,False,,,888,福重,★福重　クレーン売上表.xlsx
2025-05-30,1,BUZZ②→クレナ②,1F,1,16004.0,915.0,9,-1,ジャグラーサウンドフラッシュ,800.0,20.1.8.20シリコン3,,False,,,889,福重,★福重　クレーン売上表.xlsx
2025-05-30,2,BUZZ②→クレナ②,1F,1,18100.0,1014.0,11,0,ジャグラーイヤホン,1100.0,,,False,,,890,福重,★福重　クレーン売上表.xlsx
2025-05-30,3,BUZZ②→クレナ②,1F,1,14989.0,1783.0,39,0,スプランキーマスコット,165.0,19.1.9.19sp4緩和20,,False,,,891,福重,★福重　クレーン売上表.xlsx
2025-05-30,4,BUZZ②→クレナ②,1F,1,15641.0,1866.0,140,0,スプランキーラバー,187.0,24.8.12.24シリコン3,,False,,,892,福重,★福重　クレーン売上表.xlsx
2025-06-02,1,BUZZ②→クレナ②,1F,1,16066.0,916.0,7,2,ジャグラーサウンドフラッシュ,800.0,,,False,,,893,福重,★福重　クレーン売上表.xlsx
2025-06-02,2,BUZZ②→クレナ②,1F,1,18127.0,1014.0,11,4,ジャグラーイヤホン,1100.0,20.3.10シリコン３個,,False,,,894,福重,★福重　クレーン売上表.xlsx
2025-06-02,3,BUZZ②→クレナ②,1F,1,15030.0,1788.0,34,5,スプランキーマスコット,165.0,,,False,,,895,福重,★福重　クレーン売上表.xlsx
2025-06-02,4,BUZZ②→クレナ②,1F,1,15818.0,1880.0,135,0,スプランキーラバー,187.0,,,False,,,896,福重,★福重　クレーン売上表.xlsx
2025-06-06,1,BUZZ②→クレナ②,1F,1,16105.0,917.0,7,3,ジャグラーサウンドフラッシュ,800.0,,,False,,,897,福重,★福重　クレーン売上表.xlsx
2025-06-06,2,BUZZ②→クレナ②,1F,1,18150.0,1015.0,14,0,ジャグラーイヤホン,1100.0,,,False,,,898,福重,★福重　クレーン売上表.xlsx
2025-06-06,3,BUZZ②→クレナ②,1F,1,15062.0,1791.0,37,0,スプランキーマスコット,165.0,,,False,,,899,福重,★福重　クレーン売上表.xlsx
2025-06-06,4,BUZZ②→クレナ②,1F,1,15860.0,1884.0,141,30,スプランキーラバー,187.0,,,False,,,900,福重,★福重　クレーン売上表.xlsx
2025-06-09,1,BUZZ②→クレナ②,1F,1,16163.0,919.0,8,1,ジャグラーサウンドフラッシュ,800.0,,,False,,,901,福重,★福重　クレーン売上表.xlsx
2025-06-09,2,BUZZ②→クレナ②,1F,1,18169.0,1017.0,12,3,ジャグラーイヤホン,1100.0,22.2.10.22sp10→6シリコン2,,False,,,902,福重,★福重　クレーン売上表.xlsx
2025-06-09,3,BUZZ②→クレナ②,1F,1,15114.0,1795.0,30,10,スプランキーマスコット,165.0,,,False,,,903,福重,★福重　クレーン売上表.xlsx
2025-06-09,4,BUZZ②→クレナ②,1F,1,15958.0,1894.0,155,0,スプランキーラバー,187.0,,,False,,,904,福重,★福重　クレーン売上表.xlsx
2025-06-13,1,BUZZ②→クレナ②,1F,1,16189.0,921.0,7,0,ジャグラーサウンドフラッシュ,800.0,,,False,,,905,福重,★福重　クレーン売上表.xlsx
2025-06-13,2,BUZZ②→クレナ②,1F,1,18199.0,1017.0,15,0,ジャグラーイヤホン,1100.0,,,False,,,906,福重,★福重　クレーン売上表.xlsx
2025-06-13,3,BUZZ②→クレナ②,1F,1,15150.0,1799.0,36,15,スプランキーマスコット,165.0,,,False,,,907,福重,★福重　クレーン売上表.xlsx
2025-06-13,4,BUZZ②→クレナ②,1F,1,16034.0,1900.0,149,0,スプランキーラバー,187.0,,,False,,,908,福重,★福重　クレーン売上表.xlsx
