patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2025-09-12,5,BUZZ①,,1,413400.0,49806.0,65742,,,,,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",516,時津,★時津　クレーン売上表2026.xlsx
2025-10-18,5,BUZZ①,,1,896300.0,74144.0,81262,,,,,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",442,時津,★時津　クレーン売上表2026.xlsx
2025-11-19,5,BUZZ①,,1,875333.3333333333,53973.0,180469,,,,,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",368,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,5,BUZZ①,,1,13142.0,338.0,12,,ジャグラーボタン,748.0,,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",249,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,6,BUZZ①,,1,16610.0,514.0,20,,チェキフィルム,358.0,,,True,possible_2nd_round,"booth=6 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",250,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,7,BUZZ①,,1,18152.0,635.0,49,,アングリーキーホルダー,100.0,,,True,possible_2nd_round,"booth=7 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",251,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,8,BUZZ①,,1,22262.0,1149.0,7,1,パステルケーキ,187.0,,,True,possible_2nd_round,"booth=8 > 4 (machine=BUZZ①, area=None, tag=possible_2nd_round)",252,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,5,BUZZ③,,1,1401.0,3.0,19,0,モンチッチがま口,462.0,,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",249,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,6,BUZZ③,,1,873.0,8.0,5,4,バタースクイーズ,1100.0,,,True,possible_2nd_round,"booth=6 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",250,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,7,BUZZ③,,1,825.0,21.0,7,0,たまごっちマスコット,1500.0,19.7.8速度2,,True,possible_2nd_round,"booth=7 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",251,時津,★時津　クレーン売上表2026.xlsx
2026-03-13,8,BUZZ③,,1,434.0,13.0,83,15,キティボールペン,283.0,,,True,possible_2nd_round,"booth=8 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",252,時津,★時津　クレーン売上表2026.xlsx
2026-05-15,5,BUZZ③,,1,1449.0,3.0,19,0,モンチッチがま口,462.0,19.8.9速度2,,True,possible_2nd_round,"booth=5 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",151,時津,★時津　クレーン売上表2026.xlsx
2026-05-15,6,BUZZ③,,1,960.0,11.0,5,4,バタースクイーズ,1100.0,,,True,possible_2nd_round,"booth=6 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",152,時津,★時津　クレーン売上表2026.xlsx
2026-05-15,7,BUZZ③,,1,912.0,22.0,6,0,たまごっちマスコット,1430.0,,,True,possible_2nd_round,"booth=7 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",153,時津,★時津　クレーン売上表2026.xlsx
2026-05-15,8,BUZZ③,,1,475.0,15.0,81,0,キティボールペン,283.0,,,True,possible_2nd_round,"booth=8 > 4 (machine=BUZZ③, area=None, tag=possible_2nd_round)",154,時津,★時津　クレーン売上表2026.xlsx
