patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2026-05-26,1,BUZZ①,,1,106.0,8.0,11,7,ギャルキティマスコット,0.0,,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ①,,1,63.0,1.0,12,3,千鳥格子サンリオMC,861.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ①,,1,100.0,5.0,11,0,たまごっちブロックシール,500.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ①,,1,111.0,15.0,0,12,タルトスクイーズ,737.0,24.10.11上部停止0.2,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ②,,1,201.0,620.0,6,8,デジカメ,1100.0,上部停止長くした,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ②,,1,105.0,615.0,20,4,ゲーム柄イヤホン,748.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ②,,1,47.0,4.0,6,10,半熟たまごスクイーズ,171.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ②,,1,100.0,4.0,17,4,ヤヤマスコット,800.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ③,,1,191.0,6.0,3,7,サンリオミニファン,1100.0,上部停止長くして、アシスト回数増やした,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ③,,1,77.0,7.0,8,7,サンリオヘアバンド,797.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ③,,1,116.0,2.0,14,2,バタースクイーズ,200.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ③,,1,180.0,11.0,79,10,キティボールペン,283.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ④,,1,43.0,5.0,19,6,ミニボンドロ,200.0,,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ④,,1,74.0,0.0,17,0,ポケモンシリコンポーチ,891.0,18.7.9,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ④,,1,115.0,3.0,5,7,たまごっちカスタムキーリング,750.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ④,,1,140.0,18.0,182,0,ブレスレッド,70.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ⑤,,1,157.0,6.0,10,10,トイストーリーベアブリック,1100.0,,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ⑤,,1,71.0,2.0,10,5,モンチッチマスコット,572.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ⑤,,1,173.0,8.0,68,16,ミニトロスクイーズ,282.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ⑤,,1,91.0,5.0,14,8,ぷくぷくシール,200.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ⑥,,1,20.0,1.0,49,-32,電ブル,292.0,サンリオキーケース？19.6.7,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ⑥,,1,17.0,1.0,16,2,ジャグラーイヤホン,748.0,サンリオスカーフ付リュック22.9.10,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ⑥,,1,51.0,6.0,18,4,カエルがま口,308.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ⑥,,1,175.0,4.0,16,4,たまごっちマスコット,1500.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ⑦,,1,95.0,4.0,12,3,ジャグラーボタン,748.0,,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ⑦,,1,20.0,1.0,53,-38,押忍！番長サウンドボタン,358.0,クリアアルバム24.12.13シリコン2,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ⑦,,1,260.0,3.0,77,6,ポチポチキーボードブロック,183.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ⑦,,1,182.0,19.0,0,15,パンケーキスクイーズ,182.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZ⑧,,1,82.0,11.0,2,10,サンリオエリップスヘアーオイル,1045.0,24.10.11,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZ⑧,,1,159.0,9.0,10,8,LOTTEイヤホン,1100.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,3,BUZZ⑧,,1,104.0,3.0,13,7,おなかぷにぷに,154.0,,,False,,,9,福江,★福江　クレーン売上表.xlsx
2026-05-26,4,BUZZ⑧,,1,198.0,9.0,25,4,フルーツスクイーズ,209.0,,,False,,,10,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,BUZZクレW+①,,1,111.0,110.0,,35,サンリオデニムポーチ,,36.13.16,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-22,2,BUZZクレW+①,,1,111.0,111.0,,6,モンチッチフルーツLサイズぬいぐるみ,1100.0,48.14.15,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZクレW+①,,1,252.0,111.0,34,0,サンリオデニムポーチ,0.0,45.22.22,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZクレW+①,,1,333.0,117.0,0,6,モンチッチフルーツLサイズぬいぐるみ,1100.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,BUZZクレW+②,,1,110.0,113.0,,14,アンパンマンぬいぐるみ,1100.0,37.10.11,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-22,2,BUZZクレW+②,,1,110.0,110.0,,28,ベイビースリー猫,1100.0,42.20.20,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZクレW+②,,1,443.0,123.0,6,0,アンパンマンぬいぐるみ,1100.0,,,False,,,7,福江,★福江　クレーン売上表.xlsx
2026-05-26,2,BUZZクレW+②,,1,263.0,113.0,24,3,ベイビースリー猫,1100.0,,,False,,,8,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZミニ①,,1,147.0,14.0,62,5,ケース入りバタースクイーズ,253.0,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZミニ②,,1,203.0,2.0,38,2,,1500.0,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,BUZZミニ③,,1,1175.0,25.0,,37,サンリオフェイスポーチ,750.0,28.8.10,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZミニ③,,1,1265.0,34.0,28,7,サンリオフェイスポーチ,750.0,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,BUZZミニ④,,1,621.0,12.0,,48,キティマスコットMIX,950.0,25.7.9,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZミニ④,,1,887.0,17.0,43,5,キティマスコットMIX,950.0,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,BUZZミニ⑤,,1,664.0,18.0,,44,ベイビースリーフラワーマスコット,950.0,31.10.15,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,BUZZミニ⑤,,1,824.0,24.0,38,4,ベイビースリーフラワーマスコット,950.0,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,アンパンマンたいこでどんどん,,1,183310.0,,,,,,,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,アンパンマンたいこでどんどん,,1,183412.0,,,,,,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,アンパンマンどーこだ,,1,88875.0,,,,,,,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,アンパンマンどーこだ,,1,89019.0,,,,,,,,False,,,4,福江,★福江　クレーン売上表.xlsx
2026-05-22,1,ポケモンメガゲット,,1,15371.0,,,,,,,,False,,,3,福江,★福江　クレーン売上表.xlsx
2026-05-26,1,ポケモンメガゲット,,1,15631.0,,,,,,,,False,,,4,福江,★福江　クレーン売上表.xlsx
