organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,3648,121,146,5,13,5,ベアブリック,770,3850,0.3181818181818182,SP5→3,12100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,63,98,1,15,1,,572,572,0.09079365079365079,,,9800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,35,338,2,15,2,,400,800,0.22857142857142856,,,33800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,200,1103,4,65,4,,880,3520,0.176,,,110300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,95,516,5,52,5,,900,4500,0.47368421052631576,,,51600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,153,56,2,16,-1,,1000,-1000,-0.06535947712418301,,,5600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,3745,89,89,1,15,0,たまごっちマスコット,1430,1430,0.16067415730337078,,8900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,39,111,0,8,0,,600,0,0,,,11100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,72,292,2,6,2,,1100,2200,0.3055555555555556,,,29200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-05-04,2026-05-04T12:00:00.000Z,108,1106,3,65,3,,880,2640,0.24444444444444444,,,110600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-05-04,2026-05-04T12:00:00.000Z,103,522,6,51,6,,900,5400,0.5242718446601942,,,52200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-05-04,2026-05-04T12:00:00.000Z,77,59,3,15,3,,1000,3000,0.38961038961038963,,,5900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,4640,106,142,3,12,2,フルーツスクイーズ,210,420,0.03962264150943396,,10600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,64,284,18,247,18,,60,1080,0.16875,,,28400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,daikyo,ダイキョー弥永,2026-04-30,2026-04-30T12:00:00.000Z,87,509,2,74,2,,400,800,0.09195402298850575,,,50900,import_fukuoka_2026,bulk_import,
