organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,19,ギャルキティマスコット,,,,14.7.7,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,610,,,,,1100,,,23.9,,61000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,1100,,,20.7,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,200,,,13.6,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,1100,,,17.7,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,292,,,13.5,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,時津,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,1045,,,24.1,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,110,,,,,,,,36.13,,11000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,113,,,,,1100,,,37.1,,11300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,1,,,,,253,,,,,100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,1500,,,34.8,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,25,,,,,750,,,28.8,,2500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,12,,,,,950,,,25.7,,1200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,18,,,,,950,,,31.1,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,46164,,7565,,,46163,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,7565,,,46163,,,,,,,756500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,13,千鳥格子サンリオMC,861,,,20.7.9,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,610,,,,,748,,,22.8,,61000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,797,,,22.12,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,891,,,15.7,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,572,,,18.6,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,福江,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,748,,,19.1,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukue,時津,2026-05-22,2026-05-22T12:00:00.000Z,,,,,,,1100,,,20.8,,,import_fukuoka_2026,bulk_import,
