organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑩,2026-05-11,2026-05-11T12:00:00.000Z,1486,509,2306,821,244,7555,114,333,5,76,6,50900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑧,2026-05-11,2026-05-11T12:00:00.000Z,34,632,1,15,1,,1026,1026,0.30176470588235293,,,63200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ③,2026-05-11,2026-05-11T12:00:00.000Z,72,439,2,44,2,,880,1760,0.24444444444444444,,,43900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ④,2026-05-11,2026-05-11T12:00:00.000Z,583,822,5,30,5,,1500,7500,0.12864493996569468,,,82200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZクレ①,2026-05-11,2026-05-11T12:00:00.000Z,70,102,1,14,1,,1100,1100,0.15714285714285714,,,10200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZクレ④,2026-05-11,2026-05-11T12:00:00.000Z,9,346,1,10,2,,1100,2200,2.4444444444444446,18.8,,34600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZクレ⑤,2026-05-11,2026-05-11T12:00:00.000Z,56,117,1,15,0,,700,0,0,,,11700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ①,2026-05-11,2026-05-11T12:00:00.000Z,96,1672,10,62,11,,220,2420,0.2520833333333333,,,167200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑨,2026-05-11,2026-05-11T12:00:00.000Z,28,350,1,44,1,,1080,1080,0.38571428571428573,,,35000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑫,2026-05-11,2026-05-11T12:00:00.000Z,124,195,5,65,5,,935,4675,0.37701612903225806,,,19500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑬,2026-05-11,2026-05-11T12:00:00.000Z,120,128,6,56,7,,935,6545,0.5454166666666667,,,12800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZミニ⑪,2026-05-11,2026-05-11T12:00:00.000Z,174,479,5,38,5,,1000,5000,0.28735632183908044,,,47900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZツインズ①,2026-05-11,2026-05-11T12:00:00.000Z,62,434,14,466,16,,200,3200,0.5161290322580645,,,43400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重 BUZZツインズ②,2026-05-11,2026-05-11T12:00:00.000Z,68,304,3,90,5,,638,3190,0.46911764705882353,,,30400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重トライデッキ,2026-05-11,2026-05-11T12:00:00.000Z,779,48,38,1,2,0,プチドロ,1500,1500,0.3125,,4800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZ⑩,2026-05-11,2026-05-11T12:00:00.000Z,54,58,7,14,7,,209,1463,0.2709259259259259,24.8,,5800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZ⑥,2026-05-11,2026-05-11T12:00:00.000Z,117,382,2,19,2,,1000,2000,0.17094017094017094,,,38200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZ⑦,2026-05-11,2026-05-11T12:00:00.000Z,45,248,1,17,0,,1000,0,0,,,24800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZ⑧,2026-05-11,2026-05-11T12:00:00.000Z,28,252,0,11,0,,1100,0,0,,,25200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重BUZZ⑨,2026-05-11,2026-05-11T12:00:00.000Z,104,355,5,6,6,,1100,6600,0.6346153846153846,,,35500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,BUZZ③→クレナ①,2026-05-11,2026-05-11T12:00:00.000Z,6,166,2,13,2,,792,1584,2.64,,,16600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,BUZZ②→クレナ②,2026-05-11,2026-05-11T12:00:00.000Z,51,105,1,7,1,,1100,1100,0.21568627450980393,,,10500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,fukushige,福重バーバーR1014,2026-05-11,2026-05-11T12:00:00.000Z,290,446,0,2,0,,1200,0,,,,44600,import_fukuoka_2026,bulk_import,
