organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,karatsu,唐津R3003,2026-05-11,2026-05-11T12:00:00.000Z,8408,44,423,5,52,0,ジャグラーボタン,748,4488,1.02,,4400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津R3004,2026-05-11,2026-05-11T12:00:00.000Z,214,292,9,0,10,,700,7000,0.32710280373831774,16.7,,29200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津,2026-05-11,2026-05-11T12:00:00.000Z,148,277,2,34,3,,210,630,0.04256756756756757,,,27700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津,2026-05-11,2026-05-11T12:00:00.000Z,199,424,5,0,6,,1100,6600,0.3316582914572864,,,42400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津R3004,2026-05-11,2026-05-11T12:00:00.000Z,2987,66,37,2,0,3,ボンドロ,1500,4500,0.6818181818181818,スヌーピー,6600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津BUZZmini①,2026-05-11,2026-05-11T12:00:00.000Z,218,560,9,69,9,,935,8415,0.3860091743119266,,,56000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津BUZZmini②,2026-05-11,2026-05-11T12:00:00.000Z,511,576,2,40,11,,1500,16500,0.32289628180039137,,,57600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津BUZZmini③,2026-05-11,2026-05-11T12:00:00.000Z,57,370,3,80,3,,880,2640,0.4631578947368421,,,37000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津BUZZmini④,2026-05-11,2026-05-11T12:00:00.000Z,152,402,15,98,15,,286,4290,0.2822368421052632,,,40200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,karatsu,唐津BUZZツインズ,2026-05-11,2026-05-11T12:00:00.000Z,46,204,5,105,5,,950,4750,1.0326086956521738,,,20400,import_fukuoka_2026,bulk_import,
