organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,53217,416,1311,8,28,10,ボンボンドロップシール,1500,12000,0.28846153846153844,,41600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,175,397,5,12,5,,770,3850,0.22,,,39700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,143,291,1,14,1,,770,770,0.05384615384615385,,,29100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,17,1058,2,24,2,,700,1400,0.8235294117647058,,,105800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,15,1045,0,12,-1,,825,-825,-0.55,,,104500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,29,1059,1,12,1,,935,935,0.32241379310344825,,,105900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,53568,351,1315,4,34,8,ボンボンドロップシール,1500,6000,0.17094017094017094,,35100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,58,279,0,4,0,,1100,0,0,,,27900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,306,248,3,5,3,,750,2250,0.07352941176470588,,,24800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,74,1053,1,14,2,,1100,2200,0.2972972972972973,,,105300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,22,1061,0,10,0,,0,0,0,,,106100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,28,1047,1,9,1,,935,935,0.3339285714285714,,,104700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-18,2026-05-18T12:00:00.000Z,54038,470,1319,4,37,3,ボンボンドロップシール,1500,7500,0.1595744680851064,,47000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,190,501,3,13,3,,770,2310,0.12157894736842105,,,50100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,83,525,2,9,5,,600,3000,0.3614457831325301,,,52500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,9,1040,0,10,0,,1056,0,0,,,104000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,29,1044,0,8,0,,935,0,0,,,104400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,58,1083,4,123,4,,400,1600,0.27586206896551724,,,108300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-21,2026-05-21T12:00:00.000Z,54591,553,1325,6,32,5,ボンボンドロップシール,1500,12000,0.21699819168173598,,55300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,88,457,4,14,4,,290,1160,0.1318181818181818,,,45700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,166,731,12,25,11,,150,1650,0.09939759036144578,,,73100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,8,1047,1,2,1,,1100,1100,1.375,,,104700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,24,1143,4,150,4,,283,1132,0.4716666666666667,,,114300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-11,2026-05-11T12:00:00.000Z,7,1038,0,10,0,,1100,0,0,,,103800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-25,2026-05-25T12:00:00.000Z,55018,427,1330,5,23,12,ボンボンドロップシール,1500,21000,0.4918032786885246,,42700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,114,400,3,14,4,,770,3080,0.27017543859649124,,,40000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,45,293,2,18,0,,770,0,0,,,29300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,7,1058,0,7,1,,,0,0,,,105800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,3,1045,0,12,0,,825,0,0,,,104500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,0,1059,0,14,0,,935,0,,,,105900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,32,279,0,9,0,,1100,0,0,20.8,,27900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,115,249,1,8,1,,750,750,0.06521739130434782,,,24900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,6,1053,0,16,0,,1100,0,0,,,105300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakagawa,那珂川,2026-05-14,2026-05-14T12:00:00.000Z,3,1061,0,12,0,,0,0,0,,,106100,import_fukuoka_2026,bulk_import,
