organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,3344,115,99,5,13,5,ベアブリック,770,3850,0.3347826086956522,シリコン3→2 SP4→3,11500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,111,108,3,8,4,,748,2992,0.26954954954954957,,,10800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,32,1061,4,85,4,,275,1100,0.34375,,,106100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,68,1055,1,12,1,,350,0,0,,,105500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,2997,97,106,1,6,3,サンリオファン,1100,2200,0.2268041237113402,,9700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,114,69,3,7,3,,792,2376,0.20842105263157895,,,6900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,135,1059,2,11,2,,1100,2200,0.16296296296296298,,,105900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,66,1062,2,14,2,,,0,0,,,106200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,4344,190,89,3,7,5,たまごっちキーリング,750,2250,0.11842105263157894,,19000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,85,56,2,11,3,,600,1800,0.21176470588235294,,,5600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,97,1050,1,10,1,,770,770,0.07938144329896907,,,105000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,79,1122,20,388,20,,60,1200,0.1518987341772152,,,112200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,3045,103,71,4,14,5,たまごっちマスコット,1430,5720,0.5553398058252427,14.7.8,10300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,142,123,2,17,1,,300,300,0.02112676056338028,,,12300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,22,1034,1,22,1,,290,290,0.1318181818181818,,,103400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-15,2026-05-15T12:00:00.000Z,176,1099,14,95,14,,99,1386,0.07875,,,109900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,3407,63,100,1,18,0,ベアブリック,770,0,0,,6300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,188,113,5,8,5,,748,3740,0.19893617021276597,,,11300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,138,1065,4,86,4,,275,1100,0.07971014492753623,,,106500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,102,1057,2,12,2,,350,700,0.06862745098039216,,,105700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,3113,116,109,3,4,5,サンリオファン,1100,5500,0.47413793103448276,,11600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,164,74,5,9,5,,792,3960,0.24146341463414633,,,7400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,195,1061,2,12,2,,1100,2200,0.11282051282051282,,,106100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,109,1066,4,16,5,,290,1450,0.13302752293577982,,,106600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,4560,216,94,5,6,7,たまごっちキーリング,750,4500,0.20833333333333334,,21600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,38,58,2,9,4,,600,2400,0.631578947368421,,,5800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,92,1053,3,9,3,,770,2310,0.2510869565217391,,,105300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,86,1134,12,421,12,,60,720,0.08372093023255814,,,113400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,3218,173,74,3,16,2,たまごっちマスコット,1430,4290,0.24797687861271675,,17300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,143,126,3,16,3,,300,900,0.06293706293706294,,,12600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,87,1035,1,27,1,,290,290,0.03333333333333333,,,103500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-19,2026-05-19T12:00:00.000Z,151,1115,16,94,16,,99,1584,0.10490066225165563,,,111500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,3494,87,105,5,13,5,ベアブリック,770,3850,0.4425287356321839,シリコン2→0 15.7.8,8700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,155,119,6,6,7,,748,5236,0.33780645161290324,,,11900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,106,1068,3,90,3,,275,825,0.07783018867924528,,,106800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,47,1058,1,12,1,,350,350,0.07446808510638298,,,105800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,3268,155,110,1,7,2,サンリオファン,1100,2200,0.14193548387096774,,15500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,98,77,3,11,3,,792,2376,0.24244897959183673,,,7700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,76,1062,1,13,1,,1100,1100,0.14473684210526316,,,106200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,22,1067,1,15,1,,290,290,0.1318181818181818,,,106700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,4699,139,97,3,9,5,たまごっちキーリング,750,3000,0.2158273381294964,,13900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,91,61,3,27,1,,,0,0,24.7,,6100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,125,1055,2,14,2,,770,1540,0.1232,,,105500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,26,1140,6,475,6,,60,360,0.13846153846153847,,,114000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,3308,90,76,2,16,5,たまごっちマスコット,1430,2860,0.31777777777777777,,9000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,50,130,4,15,3,,300,900,0.18,,,13000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,14,1036,1,30,1,,290,290,0.20714285714285716,,,103600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-22,2026-05-22T12:00:00.000Z,49,1122,7,107,7,,99,693,0.14142857142857143,,,112200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,3708,214,111,6,14,6,ベアブリック,770,3080,0.14392523364485982,,21400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,234,125,6,7,7,,748,5236,0.22376068376068375,,,12500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,139,1073,5,93,5,,275,1375,0.09892086330935251,,,107300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,58,1061,3,13,2,,350,700,0.1206896551724138,,,106100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,3446,178,112,2,7,2,サンリオファン,1100,2200,0.12359550561797752,,17800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,124,80,3,10,4,,792,3168,0.25548387096774194,,,8000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,98,1063,1,12,2,,1100,2200,0.22448979591836735,,,106300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,91,1070,3,12,3,,290,870,0.0956043956043956,,,107000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,5114,415,106,9,3,9,たまごっちキーリング,750,8250,0.19879518072289157,16.7.7,41500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,194,65,4,22,5,,184,920,0.04742268041237113,,,6500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,185,1061,6,11,5,,770,3850,0.20810810810810812,,,106100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,110,1161,21,439,21,,418,8778,0.798,20.7,,116100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,3648,340,85,9,12,4,たまごっちマスコット,1430,12870,0.3785294117647059,,34000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,191,138,8,16,2,,300,600,0.031413612565445025,,,13800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,19,1042,6,8,6,,290,1740,0.9157894736842105,,,104200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,88,1127,5,102,5,,99,495,0.05625,,,112700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,269100,,,,,トータル原価,,66620,,,26910000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,212200,,,,,,,36904,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,156000,,,,,,,23180,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,132800,,,,,,,19576,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,0,,,,,,,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,19221.428571428572,576642.8571428572,,,,トータル出率,,,0.24756596060943886,,1922142.8571428573,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,15157.142857142857,454714.2857142857,,,,,,,0.1739114043355325,,,45471428.57142857,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,11142.857142857143,334285.7142857143,,,,,,,0.14858974358974358,,,33428571.428571433,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,9485.714285714286,284571.4285714286,,,,,,,0.14740963855421688,,,28457142.85714286,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,0,0,,,,,,,,,,0,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,161460,,,,,利益,,94840,0.3524340393905611,,16146000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,127320,,,,,,,90416,0.4260885956644675,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,93600,,,,,,,70420,0.4514102564102564,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,79680,,,,,,,60104,0.45259036144578313,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,0,,,,0,,,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,,,,,,月末在庫金額,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,0,,,,0,,,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,47900,,,3421.4285714285716,,ベアブリック,770,10780,0.22505219206680585,,4790000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,68800,,,2991.304347826087,23,,748,17204,0.2500581395348837,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,41500,,,2593.75,16,,275,4400,0.10602409638554217,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,27500,,,4583.333333333333,6,,350,1750,0.06363636363636363,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,54600,,,4963.636363636364,,サンリオファン,1100,12100,0.2216117216117216,,5460000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,50000,,,3333.3333333333335,15,,792,11880,0.2376,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,50400,,,7200,7,,1100,7700,0.1527777777777778,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,28800,,,2618.181818181818,11,,0,2610,0.090625,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,96000,,,4363.636363636364,,たまごっちキーリング,750,22620,0.235625,,9600000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,40800,,,4080,10,,600,4800,0.11764705882352941,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,49900,,,4158.333333333333,12,,770,6360,0.12745490981963928,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,30100,,,700,43,,60,2775,0.09219269102990033,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,70600,,,3530,,たまごっちマスコット,1430,21120,0.2991501416430595,,7060000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,52600,,,4383.333333333333,12,,300,3020,0.05741444866920152,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,14200,,,1775,8,,290,4720,0.3323943661971831,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,46400,,,800,58,,99,12441,0.268125,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,269100,,,,,払出合計,,66620,0.24756596060943886,,26910000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,212200,,,,60,,,36904,0.1739114043355325,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,156000,,,,43,,,23180,0.14858974358974358,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,132800,,,,118,,,19576,0.14740963855421688,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nakasu,中州,2026-05-26,2026-05-26T12:00:00.000Z,,146280,,0,,,,,,,,14628000,import_fukuoka_2026,bulk_import,
