organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,7086,33,158,1,9,1,サンリオボアバンスクリップ,748,0,0,サンリオファン18.6.8.18 シリコン3 POPいる,3300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,57,183,0,11,0,,1100,0,0,,,18300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,6643,27,252,2,8,2,たまごっちキーリング,650,1300,0.48148148148148145,,2700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,73,153,1,23,0,,770,0,0,,,15300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,7051,7,174,0,124,0,AIラバー,300,0,0,24.7.8 次3号アームに変える,700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,46,125,0,21,0,,400,0,0,24.1,,12500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,6043,36,135,1,19,1,たまごっちマスコット,1430,1430,0.3972222222222222,SP2→1,3600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-15,2026-05-15T12:00:00.000Z,42,198,0,14,0,,290,0,0,,,19800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,7141,55,158,0,10,0,サンリオファン,1100,0,0,,5500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,151,183,0,10,1,,1100,1100,0.0728476821192053,,,18300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,6696,53,253,1,9,0,たまごっちキーリング,650,650,0.12264150943396226,,5300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,98,155,2,22,1,,770,770,0.07857142857142857,,,15500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,7066,15,175,1,122,0,AIラバー,300,600,0.4,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,24,128,3,18,3,,400,1200,0.5,,,12800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,6056,13,135,0,20,0,たまごっちマスコット,1430,0,0,,1300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-17,2026-05-17T12:00:00.000Z,32,199,1,13,1,,290,290,0.090625,,,19900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,7198,57,160,2,9,2,サンリオファン,1100,1100,0.19298245614035087,,5700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,126,184,1,9,1,,1100,1100,0.0873015873015873,,,18400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,6724,28,254,1,8,3,たまごっちキーリング,650,650,0.23214285714285715,,2800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,68,156,1,21,1,,770,770,0.11323529411764706,,,15600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,7073,7,175,0,122,-17,AIラバー,300,0,0,キティボールペン22.7.8.20 シリコン3,700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,29,129,1,17,1,,400,400,0.13793103448275862,,,12900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,6174,118,138,3,17,3,たまごっちマスコット,1430,4290,0.3635593220338983,,11800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-19,2026-05-19T12:00:00.000Z,33,200,1,14,-1,,290,-290,-0.08787878787878788,,,20000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,7221,23,160,0,10,1,サンリオファン,1100,1100,0.4782608695652174,,2300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,65,185,1,10,1,,1100,1100,0.16923076923076924,,,18500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,6861,137,257,3,8,3,たまごっちキーリング,650,1950,0.14233576642335766,,13700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,39,157,1,24,0,,770,0,0,,,15700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,7150,77,188,13,92,0,サンリオボールペン,283,3679,0.47779220779220777,20.7.8 SP4→3,7700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,16,130,1,16,1,,400,400,0.25,,,13000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,6220,46,140,2,18,4,たまごっちマスコット,1430,2860,0.6217391304347826,,4600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-22,2026-05-22T12:00:00.000Z,10,200,0,14,0,,290,0,0,,,20000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,7316,95,163,3,8,2,サンリオファン,1100,3300,0.3473684210526316,18.7.8 緩和0.1→0.2,9500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,287,185,0,10,1,,1100,1100,0.03832752613240418,22.8,,18500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,7078,217,261,4,6,3,たまごっちキーリング,650,3250,0.1497695852534562,,21700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,124,159,2,22,2,,770,1540,0.12419354838709677,,,15900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,7216,66,196,8,84,23,サンリオボールペン,283,2264,0.343030303030303,,6600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,95,130,0,13,0,,396,0,0,16.7,,13000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,6327,107,142,2,20,2,たまごっちマスコット,1430,2860,0.2672897196261682,,10700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,113,202,2,13,2,,290,580,0.05132743362831858,16.8,,20200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,121700,,,,,トータル原価,,31283,,,12170000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,152800,,,,,,,10060,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,8692.857142857143,260785.7142857143,,,,トータル出率,,,0.25705012325390303,,869285.7142857143,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,10914.285714285714,327428.5714285714,,,,,,,0.06583769633507854,,,32742857.14285714,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,73020,,,,,利益,,41737,0.34294987674609695,,7302000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,91680,,,,,,,81620,0.5341623036649215,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,296400,,,,,月末在庫金額,,,,,29640000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,275000,,,,,,,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,,353000,,,,,,,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,26300,111400,,5260,,サンリオボアバンスクリップ,748,5500,0.20912547528517111,,2630000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,68600,,,17150,4,,1100,4400,0.0641399416909621,,,,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,nishijin,西新,2026-05-26,2026-05-26T12:00:00.000Z,,46200,107000,,3850,,たまごっちキーリング,650,7800,0.16883116883116883,,4620000,import_fukuoka_2026,bulk_import,
