organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,22941,88,485,2,5,5,サンリオファー付きフェイスポーチ,825,1650,0.1875,,8800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,10,28,1,14,1,,200,200,0.2,,,2800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,51,15,1,16,2,,770,1540,0.30196078431372547,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,40,21,0,48,1,,275,275,0.06875,,,2100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,6,20,1,8,1,,880,880,1.4666666666666666,,,2000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,17,1465,1,6,3,,,,,22.7,,146500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,41,922,1,11,2,,,,,,,92200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,26,26,1,3,2,,1500,3000,1.1538461538461537,,,2600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,23,11,0,6,-1,,1100,-1100,-0.4782608695652174,,,1100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,95,58,0,27,1,,1500,1500,0.15789473684210525,,,5800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,41,18,0,52,0,,935,0,0,,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,30,25,1,55,1,,935,935,0.31166666666666665,26.8,,2500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,13,15,0,19,0,,1012,0,0,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,27,11,0,40,0,,1045,0,0,,,1100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,30,15,0,64,0,,638,0,0,,,1500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,27,19,4,62,5,,0,0,0,,,1900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,11,40,0,46,0,,700,0,0,,,4000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,18643,141,607,1,7,0,ジャグラーDXボタン,600,600,0.0425531914893617,,14100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,94,25,1,2,1,,750,750,0.0797872340425532,,,2500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,10,18,1,15,2,,600,1200,1.2,,,1800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,21,17,0,23,0,,200,0,0,,,1700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,16,23,1,10,1,,1100,1100,0.6875,18.8,,2300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,10,510,1,14,1,,,,,,,51000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,saga,佐賀,2026-05-17,2026-05-17T12:00:00.000Z,18,811,0,8,0,,,,,,,81100,import_fukuoka_2026,bulk_import,
