organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,13869,82,368,2,9,0,キティダブルミラー,660,1320,0.16097560975609757,,8200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,74,201,0,3,0,,660,0,0,,,20100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,34,44,0,4,0,,792,0,0,,,4400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,63,53,2,18,2,,847,1694,0.2688888888888889,,,5300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,33,35,1,3,0,,1500,0,0,,,3500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,16,3905,0,40,9,,1050,9450,5.90625,,,390500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,36,545,1,42,1,,880,880,0.24444444444444444,,,54500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,27,3291,0,19,0,,880,0,0,,,329100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,29,381,5,23,5,,220,1100,0.3793103448275862,,,38100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,325,159,6,20,3,,1500,4500,0.13846153846153847,,,15900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,83,1093,3,51,3,,286,858,0.10337349397590362,,,109300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,24,93,1,50,1,,300,300,0.125,,,9300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,37,98,2,37,2,,660,1320,0.3567567567567568,,,9800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,togitsu,時津,2026-05-18,2026-05-18T12:00:00.000Z,32,106,8,56,7,,220,1540,0.48125,,,10600,import_fukuoka_2026,bulk_import,
