organization_id,store_code,booth_code,patrol_date,read_time,in_meter,in_diff,out_meter,out_diff,theoretical_stock,prize_restock_count,prize_name,prize_cost,replace_cost,payout_rate,note,revenue,source,input_method,booth_id
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,13848,331,422,7,15,4,たまごっちMC,1430,11440,0.345619335347432,,33100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,179,319,3,15,6,,1091,6546,0.36569832402234637,,,31900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,89,204,2,7,2,,792,0,0,,,20400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,341,493,13,18,13,,500,6500,0.1906158357771261,,,49300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,249,293,5,19,0,,1100,0,0,,,29300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,666,499,13,68,13,,880,11440,0.17177177177177178,,,49900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,644,373,4,27,6,,1500,9000,0.13975155279503104,,,37300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,203,652,21,20,21,,550,11550,0.5689655172413793,,,65200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,370,346,3,46,3,,500,1500,0.04054054054054054,,,34600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,283,29,3,14,3,,1050,3150,0.11130742049469965,,,2900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,15390,209,453,6,11,6,ピクミンマスコット,800,4000,0.19138755980861244,,20900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,74,416,0,17,0,,770,0,0,,,41600,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,235,365,7,5,8,,572,0,0,,,36500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,157,438,4,6,2,,660,1320,0.0840764331210191,,,43800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,146,171,5,9,5,,722,3610,0.24726027397260275,,,17100,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,355,504,5,52,25,,880,22000,0.6197183098591549,,,50400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,211,374,1,28,3,,1500,4500,0.2132701421800948,,,37400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,57,655,3,21,7,,550,3850,0.6754385964912281,,,65500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,57,347,1,33,13,,500,6500,1.1403508771929824,,,34700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,152,32,3,16,1,,1050,1050,0.06907894736842106,,,3200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,10538,242,589,2,17,1,フルーツスクイーズ,250,500,0.02066115702479339,,24200,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,240,368,19,4,19,,440,8360,0.34833333333333333,,,36800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,117,430,5,13,6,,1300,600,0.05128205128205128,18.7,,43000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,208,527,19,35,21,,300,6300,0.30288461538461536,,,52700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,407,215,10,2,7,,670,4690,0.11523341523341524,,,21500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-22,2026-05-22T12:00:00.000Z,290,513,9,53,9,,880,7920,0.2731034482758621,,,51300,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-22,2026-05-22T12:00:00.000Z,206,375,1,34,3,,1500,4500,0.21844660194174756,,,37500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-22,2026-05-22T12:00:00.000Z,135,665,10,23,10,,550,5500,0.4074074074074074,,,66500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-22,2026-05-22T12:00:00.000Z,169,350,3,30,3,,500,1500,0.08875739644970414,,,35000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-22,2026-05-22T12:00:00.000Z,108,34,2,15,1,,1050,1050,0.09722222222222222,,,3400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,10800,204,640,35,355,80,ビーズブレスレット,60,60,0.10294117647058823,,20400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,270,468,21,95,21,,99,2079,0.077,,,46800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,107,497,2,12,2,,792,200,0.018691588785046728,,,49700,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,222,239,0,19,8,,682,5456,0.24576576576576575,,,23900,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-08,2026-05-08T12:00:00.000Z,215,228,0,6,9,,600,5400,0.25116279069767444,,,22800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,13993,145,427,5,14,3,たまごっちMC,1430,7150,0.49310344827586206,14.7.7,14500,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,35,320,1,16,0,,1091,0,0,,,32000,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,39,204,0,10,0,,792,0,0,,,20400,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,158,498,5,20,8,,500,4000,0.25316455696202533,,,49800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,138,298,5,15,5,,1100,5500,0.39855072463768115,,,29800,import_fukuoka_2026,bulk_import,
00000000-0000-0000-0000-000000000fuk,unknown________,ベイサイド,2026-05-15,2026-05-15T12:00:00.000Z,15489,99,454,1,13,2,ピクミンマスコット,800,3200,0.32323232323232326,,9900,import_fukuoka_2026,bulk_import,
