patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/25,1,福重BUZZミニ④,1F,1,49142,833,23,8,ボンボンドロップシール,1500,,,7,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/22,1,福重BUZZミニ④,1F,1,48778,830,25,0,ボンボンドロップシール,1500,,,6,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/18,1,福重BUZZミニ④,1F,1,48617,826,29,0,ボンボンドロップシール,1500,,,5,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/15,1,福重BUZZミニ④,1F,1,48326,823,34,0,ボンボンドロップシール,1500,,,4,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/11,1,福重BUZZミニ④,1F,1,48087,822,30,5,ボンボンドロップシール,1500,,,3,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/7,1,福重BUZZミニ④,1F,1,47504,817,26,9,ボンボンドロップシール,1500,,,83,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/4,1,福重BUZZミニ④,1F,1,47031,811,26,5,ボンボンドロップシール,1500,,,82,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/5/1,1,福重BUZZミニ④,1F,1,46682,806,26,5,ボンボンドロップシール,1500,,,81,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/27,1,福重BUZZミニ④,1F,1,46330,801,28,5,ボンボンドロップシール,1500,,,80,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/24,1,福重BUZZミニ④,1F,1,46002,798,31,0,ボンボンドロップシール,1500,,,79,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/20,1,福重BUZZミニ④,1F,1,45714,794,32,4,ボンボンドロップシール,1500,,,78,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/17,1,福重BUZZミニ④,1F,1,45343,788,39,0,ボンボンドロップシール,1500,,,77,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/13,1,福重BUZZミニ④,1F,1,44869,786,29,12,ボンボンドロップシール,1500,,,76,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/11,1,福重BUZZミニ④,1F,1,44629,784,25,7,ボンボンドロップシール,1500,,,75,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/8,1,福重BUZZミニ④,1F,1,44344,783,31,0,ボンボンドロップシール,1500,,,155,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/6,1,福重BUZZミニ④,1F,1,44085,781,26,7,ボンボンドロップシール,1500,,,154,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/4/3,1,福重BUZZミニ④,1F,1,43474,774,24,10,ボンボンドロップシール,1500,,,153,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/3/30,1,福重BUZZミニ④,1F,1,43044,767,23,7,ボンボンドロップシール,1500,,,152,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/3/27,1,福重BUZZミニ④,1F,1,42452,760,24,5,ボンボンドロップシール,1500,,,151,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/3/23,1,福重BUZZミニ④,1F,1,42088,756,24,6,ボンボンドロップシール,1500,,,150,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/3/20,1,福重BUZZミニ④,1F,1,41475,749,30,2,ボンボンドロップシール,1500,,,149,福重,FALSE,,★福重　クレーン売上表.xlsx
2025/6/23,1,福重BUZZミニ⑩,1F,1,40932,2028,35,-18,,363,メーター621.32,,804,福重,FALSE,,★福重　クレーン売上表.xlsx
2026/3/16,1,福重BUZZミニ④,1F,1,40926,742,26,9,ボンボンドロップシール,1500,,,148,福重,FALSE,,★福重　クレーン売上表.xlsx
2025/6/21,1,福重BUZZミニ⑩,1F,1,40905,2027,36,0,,363,ハギワギ20,,803,福重,FALSE,,★福重　クレーン売上表.xlsx
2025/6/18,1,福重BUZZミニ⑩,1F,1,40789,2015,48,0,,363,,,886,福重,FALSE,,★福重　クレーン売上表.xlsx
2025/6/16,1,福重BUZZミニ⑩,1F,1,40776,2014,49,0,,363,,,885,福重,FALSE,,★福重　クレーン売上表.xlsx
