patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/25,1,BUZZ①,,1,129,998,4,0,モンチッチマスコット,572,,,11,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,2,BUZZ①,,1,308,4,47,15,電ブル,275,,,12,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,3,BUZZ①,,1,474,11,0,7,たまごっちカスタムキーリング,0,上部停止長くした,,13,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,4,BUZZ①,,1,196,4,11,5,バタースクイーズ,250,,,14,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,1,BUZZ②,,1,4060,75,3,0,マリオカートマスコット,792,,,11,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,2,BUZZ②,,1,3898,108,11,0,パンケーキスクイーズ,181,,,12,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,3,BUZZ②,,1,5081,161,17,0,フルーツスクイーズ,200,シリコン、3個にした,,13,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,4,BUZZ②,,1,5902,167,9,3,たまごっちブロックシール,648,,,14,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,1,BUZZ③,,1,15386,550,0,2,ジャグラーDXボタン,1100,上部停止長くした,,11,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,2,BUZZ③,,1,12402,365,16,3,トイストーリー・ディズニーベアブリック,748,,,12,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,3,BUZZ③,,1,15366,804,17,4,かえるがま口,300,石減らして上部停止長くした,,13,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,4,BUZZ③,,1,16220,940,10,30,サミュエルフェイス,350,キーボードブロック22.9.10,,14,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,1,BUZZ④,,1,10317,551,1,6,サンリオカラビナ付きミニファン,1100,,,11,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,2,BUZZ④,,1,11271,563,7,5,ポケモンファスナーマスコット,170,ウォーターガン23.8.9シリコン2,,12,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,3,BUZZ④,,1,13447,779,69,0,ふわもちミニスクイーズ,99,,,13,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,4,BUZZ④,,1,11297,820,8,0,キティフェイスMC,640,,,14,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/25,1,BUZZミニ,,1,8238,91,28,0,ボンボンドロップシール,1500,,,5,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ①,,1,121,998,4,0,モンチッチマスコット,572,20.7.7,,7,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ①,,1,250,2,39,10,電ブル,275,,,8,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ①,,1,404,8,0,3,たまごっちカスタムキーリング,0,,,9,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ①,,1,135,3,12,,バタースクイーズ,250,,,10,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ②,,1,4026,74,4,0,マリオカートマスコット,792,,,7,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ②,,1,3874,107,12,0,パンケーキスクイーズ,181,,,8,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ②,,1,5058,161,17,0,フルーツスクイーズ,200,,,9,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ②,,1,5868,167,9,0,たまごっちブロックシール,648,,,10,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ③,,1,15352,550,1,0,ジャグラーDXボタン,1100,,,7,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ③,,1,12319,364,18,0,トイストーリー・ディズニーベアブリック,748,,,8,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ③,,1,15352,802,16,4,かえるがま口,300,,,9,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ③,,1,16205,939,12,0,サミュエルフェイス,350,,,10,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ④,,1,10272,549,4,0,サンリオカラビナ付きミニファン,1100,,,7,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ④,,1,11256,561,9,0,ポケモンファスナーマスコット,170,,,8,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ④,,1,13432,779,69,0,ふわもちミニスクイーズ,99,,,9,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ④,,1,11268,819,8,0,キティフェイスMC,640,,,10,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/22,1,BUZZミニ,,1,8130,91,28,0,ボンボンドロップシール,1500,,,4,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,1,BUZZ①,,1,91,996,6,0,モンチッチマスコット,572,,,3,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,2,BUZZ①,,1,105,0,41,0,電ブル,275,,,4,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,3,BUZZ①,,1,222,2,2,1,たまごっちカスタムキーリング,0,,,5,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,4,BUZZ①,,1,96,1,14,0,バタースクイーズ,250,,,6,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,1,BUZZ②,,1,4008,73,4,0,マリオカートマスコット,792,,,3,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,2,BUZZ②,,1,3849,107,9,3,パンケーキスクイーズ,181,,,4,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,3,BUZZ②,,1,5038,160,15,3,フルーツスクイーズ,200,,,5,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,4,BUZZ②,,1,5803,167,10,0,たまごっちブロックシール,648,15.7.8,,6,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,1,BUZZ③,,1,15137,548,1,0,ジャグラーDXボタン,1100,,,3,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,2,BUZZ③,,1,12271,363,14,5,トイストーリー・ディズニーベアブリック,748,,,4,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,3,BUZZ③,,1,15309,799,14,6,かえるがま口,300,,,5,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,4,BUZZ③,,1,16185,939,12,0,サミュエルフェイス,350,,,6,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,1,BUZZ④,,1,10160,545,1,7,サンリオカラビナ付きミニファン,1100,,,3,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,2,BUZZ④,,1,11230,561,9,0,ポケモンファスナーマスコット,170,,,4,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,3,BUZZ④,,1,13420,779,69,0,ふわもちミニスクイーズ,99,,,5,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,4,BUZZ④,,1,11249,819,7,1,キティフェイスMC,640,,,6,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/18,1,BUZZミニ,,1,7954,89,27,4,ボンボンドロップシール,1500,,,3,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ①,,1,62,995,7,0,モンチッチマスコット,572,,,105,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ①,,1,63,0,31,10,電ブル,275,,,106,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ①,,1,120,1,1,2,たまごっちカスタムキーリング,0,,,107,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ①,,1,33,0,15,0,バタースクイーズ,250,,,108,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ②,,1,3961,71,5,0,マリオカートマスコット,792,,,105,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ②,,1,3813,104,6,6,パンケーキスクイーズ,181,,,106,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ②,,1,4952,156,19,0,フルーツスクイーズ,200,24.8.9シリコン2,,107,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ②,,1,5774,167,8,2,たまごっちブロックシール,648,,,108,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ③,,1,15013,545,2,3,ジャグラーDXボタン,1100,,,105,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ③,,1,12218,360,16,0,トイストーリー・ディズニーベアブリック,748,18500,,106,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ③,,1,15280,793,16,5,かえるがま口,300,,,107,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ③,,1,16168,938,16,-3,しばこ,350,サミュエルフェイス22.9.10,,108,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ④,,1,10144,545,2,0,サンリオカラビナ付きミニファン,1100,,,105,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ④,,1,11225,560,10,0,ポケモンファスナーマスコット,170,,,106,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ④,,1,13383,778,57,13,ふわもちミニスクイーズ,99,とろみスクイーズ混ぜた,,107,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ④,,1,11218,818,8,0,キティフェイスMC,640,,,108,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/15,1,BUZZミニ,,1,7746,85,26,4,ボンボンドロップシール,1500,32.8.9.32,,84,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/11,1,BUZZ①,,1,16056,1130,11,,モンチッチマスコット,572,20.7.8,,101,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
2026/5/11,2,BUZZ①,,1,20160,654,31,,電ブル,275,21.7.8,,102,浜の町,FALSE,,★浜の町　クレーン売上表2026.xlsx
