patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2025/5/22,1,唐津BUZZmini④,,1,999996,999993,,40,,300,じゅるる32.8.10,,893,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2025/5/22,1,唐津BUZZmini②,,1,999995,999992,,20,,1012,26.8.14サンリオボアポーチ,,893,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2025/5/22,1,唐津BUZZmini①,,1,999993,999991,,42,,385,28.8.12スプランキー,,893,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2025/5/22,1,唐津BUZZmini③,,1,999992,999991,,20,,880,28.8.12サンリオサンダルポーチ,,893,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/25,1,唐津BUZZmini②,,1,49255,591,36,4,ボンボンドロップシール,1500,,,7,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/22,1,唐津BUZZmini②,,1,48801,588,35,4,ボンボンドロップシール,1500,,,6,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/18,1,唐津BUZZmini②,,1,48631,587,34,7,ボンボンドロップシール,1500,,,5,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/15,1,唐津BUZZmini②,,1,47790,582,34,6,ボンボンドロップシール,1500,,,4,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/11,1,唐津BUZZmini②,,1,47233,576,40,1,ボンボンドロップシール,1500,,,3,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/9,1,唐津BUZZmini②,,1,46722,574,51,0,ボンボンドロップシール,1500,,,85,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/7,1,唐津BUZZmini②,,1,46244,569,40,16,ボンボンドロップシール,1500,,,84,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/4,1,唐津BUZZmini②,,1,45682,565,37,8,ボンボンドロップシール,1500,,,83,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/5/1,1,唐津BUZZmini②,,1,45082,559,24,20,ボンボンドロップシール,1500,,,82,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/27,1,唐津BUZZmini②,,1,43718,541,34,10,ボンボンドロップシール,1500,土曜日から停止だた,,81,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/24,1,唐津BUZZmini②,,1,43581,539,30,6,ボンボンドロップシール,1500,,,80,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/20,1,唐津BUZZmini②,,1,42989,531,30,8,ボンボンドロップシール,1500,,,79,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/17,1,唐津BUZZmini②,,1,42350,525,30,10,ボンボンドロップシール,1500,,,78,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/13,1,唐津BUZZmini②,,1,41445,518,40,0,ボンボンドロップシール,1500,,,77,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/9,1,唐津BUZZmini②,,1,41445,518,36,4,ボンボンドロップシール,1500,,,160,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/6,1,唐津BUZZmini②,,1,41164,518,31,5,ボンボンドロップシール,1500,,,159,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/4/3,1,唐津BUZZmini②,,1,40626,513,32,4,ボンボンドロップシール,1500,,,158,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/3/30,1,唐津BUZZmini②,,1,39869,506,26,16,ボンボンドロップシール,1500,うるちゅる混ぜた,,157,唐津,FALSE,,★唐津　クレーン売上表.xlsx
2026/3/27,1,唐津BUZZmini②,,1,38857,495,23,16,ボンボンドロップシール,1500,プチドロ混ぜた,,156,唐津,FALSE,,★唐津　クレーン売上表.xlsx
