patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026-03-17,1,BUZZDX①,,1,1030.0,1029.0,0,29,サンリオ千鳥格子フェイス,,,,155,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-17,2,BUZZDX①,,1,1028.0,1033.0,0,18,サンリオボアバンスクリップ,,,,156,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-17,3,BUZZDX①,,1,1030.0,1031.0,0,9,サンリオヒョウ柄バニティ,,,,157,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-17,4,BUZZDX①,,1,1030.0,1031.0,0,15,サンリオヒョウ柄フェイス,,,,158,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-20,1,BUZZDX①,,1,1038.0,1032.0,27,0,サンリオ千鳥格子フェイス,700.0,18.7.9 Sp8.8.8→7.7.7,,159,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-20,2,BUZZDX①,,1,1046.0,1034.0,17,2,サンリオボアバンスクリップ,1100.0,,,160,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-20,3,BUZZDX①,,1,1063.0,1031.0,9,0,サンリオヒョウ柄バニティ,1056.0,,,161,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-20,4,BUZZDX①,,1,1038.0,1031.0,15,0,サンリオヒョウ柄フェイス,792.0,,,162,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-23,1,BUZZDX①,,1,1065.0,1034.0,25,4,サンリオ千鳥格子フェイス,700.0,,,163,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-23,2,BUZZDX①,,1,1109.0,1035.0,18,1,サンリオボアバンスクリップ,1100.0,,,164,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-23,3,BUZZDX①,,1,1141.0,1032.0,7,0,サンリオヒョウ柄バニティ,1056.0,次補充,,165,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-23,4,BUZZDX①,,1,1047.0,1031.0,15,0,サンリオヒョウ柄フェイス,792.0,21.8.10,,166,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-27,1,BUZZDX①,,1,1117.0,1038.0,23,0,サンリオ千鳥格子フェイス,700.0,次補充,,167,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-27,2,BUZZDX①,,1,1125.0,1035.0,19,0,サンリオボアバンスクリップ,1100.0,,,168,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-27,3,BUZZDX①,,1,1153.0,1032.0,7,2,サンリオヒョウ柄バニティ,1056.0,,,169,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-27,4,BUZZDX①,,1,1070.0,1032.0,14,0,サンリオヒョウ柄フェイス,792.0,,,170,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-30,1,BUZZDX①,,1,1135.0,1041.0,20,6,サンリオ千鳥格子フェイス,700.0,18.7.8,,171,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-30,2,BUZZDX①,,1,1153.0,1039.0,14,0,サンリオボアバンスクリップ,1100.0,20.8.9,,172,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-30,3,BUZZDX①,,1,1161.0,1032.0,9,0,サンリオヒョウ柄バニティ,1056.0,24.12.12,,173,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-03-30,4,BUZZDX①,,1,1090.0,1032.0,14,0,サンリオヒョウ柄フェイス,792.0,,,174,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-05,1,BUZZDX①,,1,1211.0,1046.0,21,3,サンリオ千鳥格子フェイス,700.0,18.6.8,,175,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-05,2,BUZZDX①,,1,1277.0,1042.0,12,3,サンリオボアバンスクリップ,1100.0,,,176,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-05,3,BUZZDX①,,1,1187.0,1033.0,7,0,サンリオヒョウ柄バニティ,1056.0,24.9.11,,177,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-05,4,BUZZDX①,,1,1111.0,1033.0,13,3,サンリオヒョウ柄フェイス,792.0,4/7 ヘアオイル　20.8.9 シリコン2,,178,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-10,1,BUZZDX①,,1,1242.0,1047.0,21,0,サンリオ千鳥格子フェイス,700.0,,,179,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-10,2,BUZZDX①,,1,1308.0,1043.0,14,0,サンリオボアバンスクリップ,1100.0,,,180,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-10,3,BUZZDX①,,1,1225.0,1034.0,6,3,サンリオヒョウ柄バニティ,1056.0,,,181,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-10,4,BUZZDX①,,1,1119.0,1034.0,16,-5,サンリオヘアオイル,1100.0,サンリオファン18.7.8.18sp4,,182,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-13,1,BUZZDX①,,1,1255.0,1047.0,23,0,サンリオ千鳥格子フェイス,700.0,,,77,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-13,2,BUZZDX①,,1,1344.0,1043.0,13,1,サンリオボアバンスクリップ,1100.0,,,78,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-13,3,BUZZDX①,,1,1248.0,1034.0,9,3,サンリオヒョウ柄バニティ,1056.0,,,79,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-13,4,BUZZDX①,,1,1163.0,1038.0,6,0,サンリオファン,1100.0,18.6.8 補充,,80,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-16,1,BUZZDX①,,1,1272.0,1048.0,22,3,サンリオ千鳥格子フェイス,700.0,,,81,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-16,2,BUZZDX①,,1,1371.0,1044.0,13,1,サンリオボアバンスクリップ,1100.0,,,82,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-16,3,BUZZDX①,,1,1266.0,1035.0,10,0,サンリオヒョウ柄バニティ,1056.0,24.9.10,,83,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-16,4,BUZZDX①,,1,1191.0,1040.0,4,0,サンリオファン,1100.0,18.7.7 手持ちなし　次必ず補充！,,84,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-20,1,BUZZDX①,,1,1296.0,1049.0,24,2,サンリオ千鳥格子フェイス,700.0,,,85,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-20,2,BUZZDX①,,1,1445.0,1046.0,10,4,サンリオボアバンスクリップ,1100.0,20.7.9,,86,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-20,3,BUZZDX①,,1,1303.0,1036.0,9,2,サンリオヒョウ柄バニティ,1056.0,,,87,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-20,4,BUZZDX①,,1,1234.0,1042.0,2,2,サンリオファン,1100.0,SP4→3 補充にくる！！,,88,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-24,1,BUZZDX①,,1,1318.0,1050.0,25,0,サンリオ千鳥格子フェイス,700.0,,,89,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-24,2,BUZZDX①,,1,1470.0,1046.0,14,0,サンリオボアバンスクリップ,1100.0,,,90,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-24,3,BUZZDX①,,1,1353.0,1037.0,10,0,サンリオヒョウ柄バニティ,1056.0,,,91,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-24,4,BUZZDX①,,1,1239.0,1042.0,2,3,サンリオファン,1100.0,17.7.7シールド下がってた,,92,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-27,1,BUZZDX①,,1,1331.0,1050.0,25,2,サンリオ千鳥格子フェイス,700.0,,,93,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-27,2,BUZZDX①,,1,1510.0,1048.0,11,2,サンリオボアバンスクリップ,1100.0,18.7.9,,94,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-27,3,BUZZDX①,,1,1392.0,1038.0,8,0,サンリオヒョウ柄バニティ,1056.0,,,95,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-27,4,BUZZDX①,,1,1315.0,1045.0,3,1,サンリオファン,1100.0,,,96,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-30,1,BUZZDX①,,1,1332.0,1050.0,27,0,サンリオ千鳥格子フェイス,700.0,,,97,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-30,2,BUZZDX①,,1,1543.0,1050.0,12,0,サンリオボアバンスクリップ,1100.0,,,98,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-30,3,BUZZDX①,,1,1401.0,1038.0,8,0,サンリオヒョウ柄バニティ,1056.0,,,99,那珂川,False,,★那珂川　クレーン売上表.xlsx
2026-04-30,4,BUZZDX①,,1,1329.0,1045.0,4,0,サンリオファン,1100.0,,,100,那珂川,False,,★那珂川　クレーン売上表.xlsx
