patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/26,3,BUZZ①,,1,5114,106,3,9,たまごっちキーリング,750,16.7.7,,17,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,2,BUZZ②,,1,4141,80,10,6,サンリオヘアバンド,792,サンリオちりめんがま口16.7.8,,16,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,1,BUZZ①,,1,3708,111,14,6,ベアブリック,770,,,15,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,4,BUZZ①,,1,3648,85,12,4,たまごっちマスコット,1430,,,18,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,2,BUZZ①,,1,3446,112,7,2,サンリオファン,1100,,,16,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,3,BUZZ②,,1,3293,65,22,0,キーボードブロック,184,次補充！,,17,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,4,BUZZ②,,1,3155,138,16,2,バタースクイーズ,300,,,18,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,1,BUZZ②,,1,3033,125,7,16,ボアバンスクリップ,748,キティ豹柄リボンポーチ18.7.8.16 SP3,,15,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,2,BuZZDX①,,1,2372,1063,12,0,ジャグラーサウンドボタンDX,1100,,,16,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,1,BuZZDX①,,1,2339,1073,93,10,電ブル,275,,,15,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,4,BuZZ DX②,,1,2083,1127,102,0,ふわもちスクイーズ,99,,,18,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,3,BuZZDX①,,1,2033,1061,11,5,たまごっちミニポシェット,770,,,17,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,3,BuZZ DX②,,1,1825,1161,439,8,サンリオスイーツチャーム,418,20.7.7,,17,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,2,BuZZ DX②,,1,1635,1070,12,2,パンケーキスクイーズ,290,サンリオヘアバンド16.7.7,,16,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,1,BuZZ DX②,,1,1633,1061,13,2,サンリオちりめんがま口,350,ボアバンス　18.7.8,,15,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/26,4,BuZZDX①,,1,1426,1042,8,15,もっちりドーナツスクイーズ,290,パンケーキスクイーズ24.7.9シリコン3,,18,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ①,,1,4699,97,9,5,たまごっちキーリング,750,,,13,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ②,,1,4017,77,11,3,サンリオヘアバンド,792,,,12,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ①,,1,3494,105,13,5,ベアブリック,770,シリコン2→0 15.7.8,,11,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ①,,1,3308,76,16,5,たまごっちマスコット,1430,,,14,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ①,,1,3268,110,7,2,サンリオファン,1100,,,12,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ②,,1,3099,61,27,0,キーボードブロック,,24.7.8.18 シリコン0→2,,13,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ②,,1,2964,130,15,3,バタースクイーズ,300,,,14,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ②,,1,2799,119,6,8,ボアバンスクリップ,748,,,11,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,2,BuZZDX①,,1,2274,1062,13,1,ジャグラーサウンドボタンDX,1100,,,12,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,1,BuZZDX①,,1,2200,1068,90,8,電ブル,275,,,11,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,4,BuZZ DX②,,1,1995,1122,107,0,ふわもちスクイーズ,99,,,14,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,3,BuZZDX①,,1,1848,1055,14,2,たまごっちミニポシェット,770,,,13,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,3,BuZZ DX②,,1,1715,1140,475,-15,アングリー&ブレスレット,60,アングリー引いてサンリオスイーツ入れた,,13,中州,FALSE,,★中州　クレーン売上表2026.xlsx
2026/5/22,1,BuZZ DX②,,1,1575,1058,12,3,サンリオちりめんがま口,350,,,11,中州,FALSE,,★中州　クレーン売上表2026.xlsx
