patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/22,1,BUZZ①,,1,14102,432,12,9,たまごっちMC,1430,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ①,,1,15635,458,11,4,ピクミンマスコット,800,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ①,,1,10635,590,20,0,フルーツスクイーズ,250,アンパンマンマスコットに入れ替え,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ①,,1,10938,671,439,0,ビーズブレスレット,60,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ②,,1,10485,321,16,0,液晶デジタルカメラ,1091,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ②,,1,11016,417,12,2,サンリオちりめんがま口,385,スンスンがま口に入れ替え,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ②,,1,12102,372,13,5,バタースクイーズ,440,,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ②,,1,8819,474,97,0,ふわもちスクイーズ,99,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ③,,1,899,205,4,7,サンリオファン,1100,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ③,,1,7157,368,9,10,モンチッチフルーツマスコット,572,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ③,,1,8525,434,16,7,たまごっちぷかぷかKH,1300,量増やした　SP3→2,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ③,,1,7946,498,13,0,サミュエルフェイス,792,20.9.11,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ④,,1,12025,507,17,7,テラスタルフェス,500,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ④,,1,7143,442,5,0,キティしっぽ付きポーチ,660,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ④,,1,8777,537,35,6,ボンボンドロップシール,300,,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ④,,1,7856,239,20,0,NICI,682,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZ⑤,,1,6974,299,19,0,ゲーム機柄イヤホン,1100,,,11,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,2,BUZZ⑤,,1,7472,179,10,4,デジタルミニカメラ,722,,,12,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,3,BUZZ⑤,,1,8521,218,6,5,ゲームアーク,670,,,13,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,4,BUZZ⑤,,1,7766,228,8,6,たまごっちブロックシール,600,,,14,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ①,,1,21077,513,53,6,サンリオマスコットポーチ,880,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ②,,1,17589,375,34,,ボンボンドロップシール,1500,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ③,,1,8751,665,23,5,AIぬいぐるみ,550,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ④,,1,5229,350,30,0,ピクミンでかマスコット,500,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/22,1,BUZZミニ⑤,,1,2607,34,15,,サンリオボアポーチ,1050,,,5,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
2026/5/15,1,BUZZ①,,1,13993,427,14,3,たまごっちMC,1430,14.7.7,,7,Sheet1,FALSE,,★ベイサイド　クレーン売上.xlsx
