patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/28,1,BUZZ①,,1,4451,170,18,1,ベアブリック,770,13.7.7,,35,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,2,BUZZ①,,1,4218,98,9,3,モンチッチフェイスポーチ,660,13.7.8,,36,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,3,BUZZ①,,1,5264,159,10,0,たまごっちミニポシェット,,3号アームへ変更　12.6.6,,37,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,4,BUZZ①,,1,6674,303,15,0,パンケーキスクイーズ,189,SP4→8 シリコン3,,38,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,1,BUZZ②,,1,4035,118,8,3,たまごっちキーリング,700,,,35,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,2,BUZZ②,,1,3204,125,11,3,スンスンがま口,396,,,36,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,3,BUZZ②,,1,3318,374,12,6,アンパンマンマスコット,825,ノーマルアームへ変更　11.6.7,,37,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,4,BUZZ②,,1,6535,360,92,18,もちふわスクイーズ,260,,,38,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,1,BUZZ③,,1,9581,346,12,2,デジタルミニカメラ,1000,,,35,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,2,BUZZ③,,1,10227,308,7,2,カラビナファン,1100,18.7.7,,36,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,3,BUZZ③,,1,12088,530,145,0,AIラバー,0,,,37,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,4,BUZZ③,,1,11902,762,14,16,たまごスクイーズ,95,キーボードブロック18.7.8.18 シリコン3,,38,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,1,BUZZミニ①,,1,22801,1115,66,,サンリオマスコット,880,,,11,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,1,BUZZミニ②,,1,16737,542,19,73,サンリオエコバッグ,900,シリコン3 48.20.22,,11,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/28,1,BUZZミニ③,,1,4953,83,80,0,箱入りバタースクイーズ,286,40.18.18 シリコン全部スイーツスクイーズにつけた（シリコン無し）,,11,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZ①,,1,4403,167,19,2,ベアブリック,770,,,31,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,2,BUZZ①,,1,4185,96,9,3,モンチッチフェイスポーチ,660,,,32,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,3,BUZZ①,,1,5161,157,22,-10,フルーツスクイーズ,210,たまごっちミニポシェット12.6.7 SP3,,33,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,4,BUZZ①,,1,6655,302,16,0,パンケーキスクイーズ,189,24.9.11,,34,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZ②,,1,3892,115,6,6,たまごっちキーリング,700,,,31,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,2,BUZZ②,,1,3170,122,13,1,スンスンがま口,396,,,32,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,3,BUZZ②,,1,3235,370,12,5,アンパンマンマスコット,825,,,33,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,4,BUZZ②,,1,6480,357,95,0,もちふわスクイーズ,260,,,34,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZ③,,1,9548,344,12,2,デジタルミニカメラ,0,,,31,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,2,BUZZ③,,1,10203,306,7,3,カラビナファン,1100,20.8.9,,32,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,3,BUZZ③,,1,12078,528,147,0,AIラバー,0,,,33,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,4,BUZZ③,,1,11875,760,19,-2,ドーナツスクイーズ,95,たまごスクイーズ20.7.8 POPいる,,34,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZミニ①,,1,22722,1114,67,0,サンリオマスコット,880,,,10,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZミニ②,,1,16550,537,52,-24,サンリオエコバッグ,900,スイーツスクイーズ36.11.12  上部停止0,,10,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/25,1,BUZZミニ③,,1,4875,81,82,0,箱入りバタースクイーズ,286,,,10,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZ①,,1,4313,164,15,6,ベアブリック,770,,,27,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,2,BUZZ①,,1,4122,95,17,-6,たまごっちマスコット,1430,モンチッチフェイスポーチ14.7.8,,28,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,3,BUZZ①,,1,5120,153,23,3,フルーツスクイーズ,210,24.8.9 シリコン2→3 SP2→4,,29,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,4,BUZZ①,,1,6583,301,17,0,パンケーキスクイーズ,189,24.9.10 SP2→4,,30,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZ②,,1,3691,111,7,4,たまごっちキーリング,700,,,27,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,2,BUZZ②,,1,3137,121,7,7,スンスンがま口,396,,,28,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,3,BUZZ②,,1,3122,367,253,-238,オーロラブレスレット,300,アンパンマンマスコット14.6.7 3号アーム,,29,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,4,BUZZ②,,1,6405,353,99,0,もちふわスクイーズ,260,,,30,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZ③,,1,9493,342,14,0,デジタルミニカメラ,0,SP5→6 シリコン0→2,,27,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,2,BUZZ③,,1,10151,304,9,0,カラビナファン,1100,,,28,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,3,BUZZ③,,1,12023,524,151,0,AIラバー,0,POP入れた　16.7.7,,29,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,4,BUZZ③,,1,11855,760,15,5,ドーナツスクイーズ,95,次たまごスクイーズにする,,30,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZミニ①,,1,22636,1113,66,2,サンリオマスコット,880,,,9,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZミニ②,,1,16453,533,54,2,サンリオエコバッグ,900,,,9,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/21,1,BUZZミニ③,,1,4778,72,83,8,箱入りバタースクイーズ,286,でかいバター飾る,,9,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZ①,,1,4211,160,16,5,ベアブリック,770,,,23,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,2,BUZZ①,,1,4099,95,16,1,たまごっちマスコット,1430,,,24,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,3,BUZZ①,,1,5103,153,21,2,フルーツスクイーズ,210,,,25,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,4,BUZZ①,,1,6501,300,15,2,パンケーキスクイーズ,189,24.8.10,,26,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZ②,,1,3575,108,5,5,たまごっちキーリング,700,,,23,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,2,BUZZ②,,1,3000,116,10,2,たまごっちブロックシール,600,スンスンがま口　18.7.8 POPいる,,24,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,3,BUZZ②,,1,3091,360,220,40,オーロラブレスレット,300,,,25,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,4,BUZZ②,,1,6341,350,102,0,もちふわスクイーズ,260,,,26,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZ③,,1,9477,342,12,2,デジタルミニカメラ,0,,,23,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,2,BUZZ③,,1,10117,304,7,2,カラビナファン,1100,,,24,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,3,BUZZ③,,1,12019,524,151,0,AIラバー,0,POPいる,,25,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,4,BUZZ③,,1,11842,758,18,0,ドーナツスクイーズ,,,,26,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZミニ①,,1,22572,1112,67,0,サンリオマスコット,880,,,8,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZミニ②,,1,16412,530,55,2,サンリオエコバッグ,900,,,8,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/18,1,BUZZミニ③,,1,4724,71,76,8,箱入りバタースクイーズ,286,,,8,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZ①,,1,4059,158,19,0,ベアブリック,770,,,19,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,2,BUZZ①,,1,4053,94,16,1,たまごっちマスコット,1430,,,20,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,3,BUZZ①,,1,5022,151,19,3,フルーツスクイーズ,210,,,21,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,4,BUZZ①,,1,6425,298,12,4,パンケーキスクイーズ,189,,,22,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZ②,,1,3398,104,7,2,たまごっちキーリング,700,,,19,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,2,BUZZ②,,1,2962,116,10,0,たまごっちブロックシール,600,,,20,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,3,BUZZ②,,1,3034,349,228,3,オーロラブレスレット,60,サンリオスイーツは418円！,,21,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,4,BUZZ②,,1,6242,342,105,5,もちふわスクイーズ,260,,,22,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZ③,,1,9393,342,11,1,デジタルミニカメラ,,,,19,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,2,BUZZ③,,1,10028,303,6,3,カラビナファン,1100,,,20,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,3,BUZZ③,,1,11953,519,156,0,AIラバー,,POPいるAI,,21,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,4,BUZZ③,,1,11795,755,36,-14,ボンドロ,200,14.7.7 シリコン2,,22,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZミニ①,,1,22488,1110,65,4,サンリオマスコット,880,,,7,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZミニ②,,1,16300,529,52,4,サンリオエコバッグ,900,,,7,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/14,1,BUZZミニ③,,1,4641,65,78,4,箱入りバタースクイーズ,286,,,7,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,1,BUZZ①,,1,4029,158,16,3,ベアブリック,770,,,15,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,2,BUZZ①,,1,4022,94,16,0,たまごっちマスコット,1430,,,16,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,3,BUZZ①,,1,4995,150,13,9,フルーツスクイーズ,210,量増やした　24.8.8,,17,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,4,BUZZ①,,1,6375,297,11,2,パンケーキスクイーズ,189,,,18,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,1,BUZZ②,,1,3218,101,12,-2,モンチッチマスコット,572,たまごっちキーリング16.7.8 SP1,,15,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,2,BUZZ②,,1,2936,115,9,2,たまごっちブロックシール,600,,,16,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
2026/5/11,3,BUZZ②,,1,3007,343,159,75,オーロラブレスレット,60,実数　サンリオスイーツチャーム混ぜた22.9.8上昇,,17,Sheet1,FALSE,,★ダイキョー　クレーン売上.xlsx
