patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026-04-28,1,カリーノミニSP,,1,80.0,26.0,,,たまごっちミニチュアポシェット,770.0,,,3,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-04-28,2,カリーノミニSP,,1,323.0,48.0,,,モンチッチフルーツMC,572.0,,,4,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-04-28,3,カリーノミニSP,,1,172.0,38.0,,,フルーツスクイーズ,209.0,,,5,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-04-28,4,カリーノミニSP,,1,163.0,38.0,,,ベーカリースクイーズ,286.0,,,6,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-02,1,カリーノミニSP,,1,182.0,27.0,13,0,たまごっちミニチュアポシェット,770.0,,,7,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-02,2,カリーノミニSP,,1,372.0,49.0,7,0,モンチッチフルーツMC,572.0,,,8,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-02,3,カリーノミニSP,,1,221.0,44.0,8,4,フルーツスクイーズ,209.0,,,9,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-02,4,カリーノミニSP,,1,246.0,40.0,60,0,ベーカリースクイーズ,286.0,↓↓↓設定の数値を記入していって！,,10,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-05,1,カリーノミニSP,,1,307.0,28.0,12,0,たまごっちミニチュアポシェット,770.0,ｱｼｽﾄ80 ｷｬｯﾁ13 ﾙｰｽﾞ9 ﾘﾀｰﾝ10,,11,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
2026-05-05,2,カリーノミニSP,,1,406.0,53.0,7,1,パンケーキスクイーズ,572.0,60 27 10 13,,12,Sheet1,False,,★ファミマ呉服町　クレーン売上.xlsx
