patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,source_row,sheet_name,is_anomaly,anomaly_reason,file_name
2026/5/26,2,BUZZ②,,1,8878,159,22,1,ゲームプロ4イヤホン,770,上部停止0.1→0,,20,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,1,BUZZ②,,1,7753,185,10,1,ジャグラーサウンドボタンDX,1100,22.8.8,,19,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,1,BUZZ①,,1,7316,163,8,2,サンリオファン,1100,18.7.8 緩和0.1→0.2,,19,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,3,BUZZ①,,1,7216,196,84,23,サンリオボールペン,283,,,21,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,2,BUZZ①,,1,7078,261,6,3,たまごっちキーリング,650,,,20,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,4,BUZZ②,,1,6372,202,13,0,バタースクイーズ,290,16.8.9 SP1→4,,22,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,4,BUZZ①,,1,6327,142,20,2,たまごっちマスコット,1430,,,22,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/26,3,BUZZ②,,1,5234,130,13,2,スンスンがま口,396,16.7.8,,21,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ②,,1,8754,157,24,0,ゲームプロ4イヤホン,770,SP5→6,,16,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ②,,1,7466,185,10,1,ジャグラーサウンドボタンDX,1100,,,15,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,1,BUZZ①,,1,7221,160,10,1,サンリオファン,1100,,,15,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ①,,1,7150,188,92,0,サンリオボールペン,283,20.7.8 SP4→3,,17,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,2,BUZZ①,,1,6861,257,8,3,たまごっちキーリング,650,,,16,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ②,,1,6259,200,14,1,バタースクイーズ,290,,,18,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,4,BUZZ①,,1,6220,140,18,4,たまごっちマスコット,1430,,,18,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/22,3,BUZZ②,,1,5139,130,16,-3,パンケーキスクイーズ,400,スンスンがま口　14.7.7,,17,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,2,BUZZ②,,1,8715,156,21,3,ゲームプロ4イヤホン,770,,,12,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,1,BUZZ②,,1,7401,184,9,2,ジャグラーサウンドボタンDX,1100,,,11,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,1,BUZZ①,,1,7198,160,9,2,サンリオファン,1100,,,11,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,3,BUZZ①,,1,7073,175,122,-17,AIラバー,300,キティボールペン22.7.8.20 シリコン3,,13,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,2,BUZZ①,,1,6724,254,8,3,たまごっちキーリング,650,,,12,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,4,BUZZ②,,1,6249,200,14,0,バタースクイーズ,290,,,14,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,4,BUZZ①,,1,6174,138,17,3,たまごっちマスコット,1430,,,14,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/19,3,BUZZ②,,1,5123,129,17,0,パンケーキスクイーズ,400,フィールドの数減らして点置きにした,,13,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,2,BUZZ②,,1,8647,155,22,0,ゲームプロ4イヤホン,770,,,8,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,1,BUZZ②,,1,7275,183,10,0,ジャグラーサウンドボタンDX,1100,,,7,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,1,BUZZ①,,1,7141,158,10,0,サンリオファン,1100,,,7,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,3,BUZZ①,,1,7066,175,122,0,AIラバー,300,,,9,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,2,BUZZ①,,1,6696,253,9,0,たまごっちキーリング,650,,,8,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,4,BUZZ②,,1,6216,199,13,0,バタースクイーズ,290,,,10,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,4,BUZZ①,,1,6056,135,20,0,たまごっちマスコット,1430,,,10,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/17,3,BUZZ②,,1,5094,128,18,0,パンケーキスクイーズ,400,,,9,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ②,,1,8549,153,23,,ゲームプロ4イヤホン,770,,,4,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ②,,1,7124,183,11,,ジャグラーサウンドボタンDX,1100,,,3,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,1,BUZZ①,,1,7086,158,9,1,サンリオボアバンスクリップ,748,サンリオファン18.6.8.18 シリコン3 POPいる,,3,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ①,,1,7051,174,124,0,AIラバー,300,24.7.8 次3号アームに変える,,5,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,2,BUZZ①,,1,6643,252,8,2,たまごっちキーリング,650,,,4,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ②,,1,6184,198,14,,バタースクイーズ,290,,,6,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,4,BUZZ①,,1,6043,135,19,1,たまごっちマスコット,1430,SP2→1,,6,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/15,3,BUZZ②,,1,5070,125,21,,パンケーキスクイーズ,400,24.10.12,,5,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,2,BUZZ②,,1,8476,152,18,5,ゲームプロ4イヤホン,770,,,103,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,1,BUZZ②,,1,7067,183,7,4,ジャグラーサウンドボタンDX,1100,,,102,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,1,BUZZ①,,1,7053,157,9,0,サンリオボアバンスクリップ,748,,,102,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,3,BUZZ①,,1,7044,174,14,110,バタースクイーズ,300,AIラバー　18.7.7 ノーマルアーム,,104,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,2,BUZZ①,,1,6616,250,9,1,たまごっちキーリング,650,,,103,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,4,BUZZ②,,1,6142,198,25,-11,ボンドロ,150,バタースクイーズ16.7.8,,105,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,4,BUZZ①,,1,6007,134,18,2,たまごっちマスコット,1430,,,105,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/12,3,BUZZ②,,1,5024,125,9,12,パンケーキスクイーズ,400,量増やした24.8.9,,104,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,2,BUZZ②,,1,8391,150,16,4,ゲームプロ4イヤホン,770,,,99,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,3,BUZZ①,,1,6986,172,16,0,バタースクイーズ,300,,,100,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,1,BUZZ②,,1,6911,182,7,2,ジャグラーサウンドボタンDX,1100,,,98,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,1,BUZZ①,,1,6883,155,8,3,サンリオボアバンスクリップ,748,20.7.8 サンリオファンに入れ替え,,98,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,2,BUZZ①,,1,6506,249,9,1,たまごっちキーリング,650,,,99,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,4,BUZZ②,,1,6066,194,29,0,ボンドロ,150,AIラバー入れる,,101,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,4,BUZZ①,,1,5903,132,16,4,たまごっちマスコット,1430,,,101,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/7,3,BUZZ②,,1,4941,122,8,4,パンケーキスクイーズ,400,,,100,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/4,2,BUZZ②,,1,8336,150,16,0,ゲームプロ4イヤホン,770,,,95,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/4,3,BUZZ①,,1,6915,171,17,0,バタースクイーズ,300,,,96,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/4,1,BUZZ①,,1,6868,152,9,1,サンリオボアバンスクリップ,748,次サンリオファン！！,,94,西新,FALSE,,★西新　クレーン売上表2026.xlsx
2026/5/4,1,BUZZ②,,1,6679,181,8,0,ジャグラーサウンドボタンDX,1100,次補充！！　サンリオ引き出しに箱で入ってるよ,,94,西新,FALSE,,★西新　クレーン売上表2026.xlsx
