patrol_date,booth_number,machine_name,machine_area,unit_index,in_meter,out_meter,theoretical_stock,prize_restock_count,prize_name,prize_cost,note,r_number,is_anomaly,anomaly_tag,anomaly_reason,source_row,sheet_name,file_name
2024-06-26,1,BUZZ①,,1,0.0,9999992.0,,23,サンリオがま口,362.0,,,False,,,1681,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-26,2,BUZZ①,,1,0.0,9999992.0,,6,ピクミンマスコット,682.0,,,False,,,1682,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-26,3,BUZZ①,,1,0.0,9999992.0,,16,グミッツェルプチ,188.0,,,False,,,1683,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-26,4,BUZZ①,,1,0.0,9999992.0,,12,グミッツェル,165.0,,,False,,,1684,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-28,1,BUZZ①,,1,29.0,9999993.0,22,0,サンリオがま口,362.0,,,False,,,1685,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-28,2,BUZZ①,,1,12.0,9999992.0,6,0,ピクミンマスコット,682.0,,,False,,,1686,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-28,3,BUZZ①,,1,17.0,9999992.0,16,0,グミッツェルプチ,188.0,,,False,,,1687,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-06-28,4,BUZZ①,,1,5.0,9999994.0,10,0,グミッツェル,165.0,14.3.8.15,,False,,,1688,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-01,1,BUZZ①,,1,107.0,9999994.0,20,8,サンリオがま口,362.0,,,False,,,1689,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-01,2,BUZZ①,,1,125.0,9999995.0,4,2,ピクミンマスコット,682.0,,,False,,,1690,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-01,3,BUZZ①,,1,144.0,9999993.0,15,2,グミッツェルプチ,188.0,14.5.9,,False,,,1691,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-01,4,BUZZ①,,1,109.0,0.0,6,6,グミッツェル,165.0,,,False,,,1692,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-08,1,BUZZ①,,1,277.0,9999998.0,24,0,サンリオがま口,362.0,,,False,,,1693,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-08,2,BUZZ①,,1,326.0,9999998.0,4,2,ピクミンマスコット,682.0,,,False,,,1694,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-08,3,BUZZ①,,1,270.0,9999996.0,14,0,グミッツェルプチ,188.0,,,False,,,1695,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-08,4,BUZZ①,,1,206.0,3.0,4,2,グミッツェル,165.0,11.5.9モフサンドかえる,,False,,,1696,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-15,1,BUZZ①,,1,408.0,0.0,22,0,サンリオがま口,362.0,,,False,,,1697,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-15,2,BUZZ①,,1,507.0,3.0,3,2,ピクミンマスコット,682.0,,,False,,,1698,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-15,3,BUZZ①,,1,386.0,4.0,6,10,グミッツェルプチ,188.0,13.4.9,,False,,,1699,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-15,4,BUZZ①,,1,275.0,5.0,4,7,モフサンドかえる,165.0,14.5.9プロペラアヒル,,False,,,1700,Sheet1,★ベイサイド　クレーン売上.xlsx
2024-07-17,1,BUZZ①,,1,445.0,1.0,21,0,サンリオがま口,362.0,,,False,,,1701,Sheet1,★ベイサイド　クレーン売上.xlsx
