machine_id,store_id,machine_code,machine_name,machine_model,machine_type,booth_count,default_price,meter_layout,rental_code,monthly_advance,location_note,active_flag
1,1,M01,500GATCHA,ガチャマシン,gacha,2,100,5,,0,,1
2,1,M02,BUZZ＃1,BUZZクレーン,crane,4,100,5,,0,,1
3,1,M03,BUZZ＃2,BUZZクレーン,crane,4,100,5,,0,,1
4,1,M04,セサミ＃3,セサミ,crane,2,100,5,,0,,1
5,1,M05,セサミ＃4,セサミ,crane,2,100,5,,0,,1
6,1,M06,セサミ＃１,セサミ,crane,2,100,5,,0,,1
7,1,M07,セサミ＃２,セサミ,crane,2,100,5,,0,,1
8,2,M01,BUZZスリム,BUZZクレーンスリム,crane,2,100,5,,0,,1
9,2,M02,BUZZ＃1,BUZZクレーン,crane,4,100,5,,0,,1
10,4,M01,BUZZ＃1,BUZZクレーン,crane,4,100,5,,0,,1
11,4,M02,BUZZ＃2,BUZZクレーン,crane,4,100,5,,0,,1
12,1,M08,ガチャコロ2千円,ガチャコロ,gacha,2,1000,5,,0,,1
13,3,M01,ガチャコロ,ガチャコロ,gacha,2,1000,5,,0,,1
